id,name,org_name,professor
12580,인간중심 돌봄을 위한  보건의료인의 역할과 준비,가톨릭관동대학교,"서임선 교수, 용진선 명예 교수"
12116,모두에게 필요한 공중보건(Public health connects us all),호남대학교,"장윤경, 이문영, 이성아"
11973,모성간호학,평택대학교,박현정
11911,성장과발달,동의과학대학교,김태경
11749,현대사회 건강문제와 인간돌봄학문으로서의 간호,서울대학교,서은영
11740,환자 시뮬레이터 체험하기,서울대학교,강자현
11711,인간관계와 정신건강 /Human relationship and mental health,동국대학교(WISE),김인홍
11269,모성간호학,평택대학교,박현정
10767,장꽃피는 메타컬리지 - 전통음식에서 건강을 찾다.,동의과학대학교,"김태경,양향숙,기순도"
9995,인간관계와 정신건강 /Human relationship and mental health,동국대학교(WISE),김인홍
9748,성장과발달,동의과학대학교,김태경
9747,모두에게 필요한 공중보건(Public health connects us all),호남대학교,"장윤경, 이문영, 이성아"
8038,환자 시뮬레이터 체험하기,서울대학교,강자현
8030,현대사회 건강문제와 인간돌봄학문으로서의 간호,서울대학교,서은영
5269,모성간호학,평택대학교,박현정
2817,영화로 배우는 성장발달과 건강증진,인제대학교,"오진아, 박지영"
2277,모두에게 필요한 공중보건(Public health connects us all),호남대학교,"장윤경, 이문영, 이성아"
1796,인간관계와 정신건강 /Human relationship and mental health,동국대학교(WISE),김인홍
1437,성장과발달,동의과학대학교,김태경
