id,name,org_name,professor
11840,한국의 문화유산,경일대학교,김병주
11775,친환경 디자인과 건축[Eco-Friendly Design and Architecture],인하공업전문대학,김자경
11551,건축으로 읽는 사회문화사,이화여자대학교,임석재
11549,건축 파라메트릭 디자인,국립부경대학교,김민석
11384,"(수어) 히든 히어로즈 : K-건설, 세계 랜드마크를 건설하다",JTBC,
11383,"(MOOC) 히든 히어로즈 : K-건설, 세계 랜드마크를 건설하다",JTBC,
11068,"(수어) 세대별 교양 : 당신의 행복공간을 찾아라(차이나는 클라스, 유현준)",JTBC,유현준
11067,"(MOOC) 세대별 교양 : 당신의 행복공간을 찾아라(차이나는 클라스, 유현준)",JTBC,유현준
10879,(방송) 위대한 수업1(GREAT MINDS) : 건축가 안도 다다오,EBS,안도 다다오
10878,(MOOC) 위대한 수업1(GREAT MINDS) : 건축가 안도 다다오,EBS,안도 다다오
10877,(수어) 위대한 수업1(GREAT MINDS) : 건축가 안도 다다오,EBS,안도 다다오
10876,(더빙) 위대한 수업1(GREAT MINDS) : 건축가 안도 다다오,EBS,안도 다다오
10792,(MOOC) 위대한 수업3(GREAT MINDS) : 종이의 건축가,EBS,반 시게루
10790,(방송) 위대한 수업3(GREAT MINDS) : 종이의 건축가,EBS,반 시게루
10787,(수어) 위대한 수업3(GREAT MINDS) : 종이의 건축가,EBS,반 시게루
10784,(더빙) 위대한 수업3(GREAT MINDS) : 종이의 건축가,EBS,반 시게루
10491,"근대건축의 역사와 이론: 구성, 구축, 공간 예술의 건축",한양대학교,남성택
10391,한국의 문화유산,경일대학교,김병주
10276,친환경 디자인과 건축,인하공업전문대학,김자경
10028,건축과 도시의 인문학,국립창원대학교,유진상
9609,건축 파라메트릭 디자인,국립부경대학교,김민석
9361,건축으로 읽는 사회문화사,이화여자대학교,임석재
8876,내 집의 모든 것,서울사이버대학교,홍선관
8145,한옥Ⅱ: 한옥 느끼기,전북대학교,남해경
8141,한옥Ⅰ: 우리 한옥 이야기,전북대학교,남해경
4916,건축 파라메트릭 디자인,국립부경대학교,김민석
4353,부산 건축 톺아보기,경성대학교,강혁
2969,고령화 사회의 주거공간학,제주대학교,김태일
2451,건축공간론,한양대학교,all
2412,디지털건설경영,한양사이버대학교,함남혁
2291,현대건축의 흐름,홍익대학교,
2161,프리콘(Pre-construction),(주)한미글로벌,"권오경, 정민, 이국헌, 김경태, 박상혁"
2129,건축으로 읽는 사회문화사,이화여자대학교,임석재
