id,name,org_name,professor
12545,실용금융의 이론과 실제,금융감독원,"박경국, 박원태"
12509,국고보조금 이해와 실무,한국능률협회컨설팅,"윤용중, 윤장원, 김정진, 류진동, 신석경"
12502,ESG경영 비즈니스모델,서울사이버대학교,이완형
12456,기계-인간-환경 공존시대의 휴머니티 경영,서울사이버대학교,이완형
12455,디지털 금융세상의 리스크관리,서울사이버대학교,서영수
12424,넷로고와 파이선을 활용한 게임이론 시뮬레이션,한국방송통신대학교,이남형
12406,영상콘텐츠 제작을 통한 사회적 기업의 이해,호서대학교,어윤수
12402,AI시대 발명과 특허,호서대학교,이영철
12398,실전경영의 이해,호서대학교,"이성희, 김재진, 조정현"
12397,기업가정신과혁신,호서대학교,이종원
12396,문화창업마케팅,호서대학교,박남규
12395,기술경영개론,호서대학교,이종원
12389,채권투자론,충남대학교,장호규
12345,재무관리,충남대학교,장호규
12320,한국경제와 학교 교육,서울대학교 한국경제와 K학술확산연구센터,고선
12319,한국경제와 해외 원조,서울대학교 한국경제와 K학술확산연구센터,류상윤
12318,한국경제성장사,서울대학교 한국경제와 K학술확산연구센터,김낙년
12317,한국의 장기통계2,서울대학교 한국경제와 K학술확산연구센터,박이택
12316,북한의 농업,서울대학교 한국경제와 K학술확산연구센터,김성남
12315,북한경제의 어제와 오늘,서울대학교 한국경제와 K학술확산연구센터,홍제환
12313,한국 수산업 발전사,서울대학교 한국경제와 K학술확산연구센터,송경은
12312,철도를 통해 본 동아시아 근현대사,서울대학교 한국경제와 K학술확산연구센터,임채성
12311,한국경제의 혁신과 미래,서울대학교 한국경제와 K학술확산연구센터,"김병연, 주병기, 이정민, 이철희, 박지형, 배석만"
12309,한국의 농업발전,서울대학교 한국경제와 K학술확산연구센터,"김성남, 최희원, 한상훈, 최찬호, 김광호, 김경량, 문한필, 정남교"
12307,한국의 사회정책,서울대학교 한국경제와 K학술확산연구센터,김도형
12306,한국의 에너지산업,서울대학교 한국경제와 K학술확산연구센터,배연호
12305,경제개발기 한국의 공업화,서울대학교 한국경제와 K학술확산연구센터,주익종
12304,한국의 장기통계 1,서울대학교 한국경제와 K학술확산연구센터,박이택
12303,한국 조선산업 발전사,서울대학교 한국경제와 K학술확산연구센터,배석만
12301,한국의 경제발전과 외자도입,서울대학교 한국경제와 K학술확산연구센터,김유진
12270,국경 간 전자상거래와 무역벤처창업,경희대학교,김학민
12268,한국의 경제발전,서울대학교 한국경제와 K학술확산연구센터,유동우
12249,창업아이디어 탐색 및 실습,아주대학교,"정문호,강경란"
12213,바이오뷰티 창업과 성공전략,대구한의대학교,"김기근, 박진한, 안찬우, 이선미, 장봉진"
12207,재무설계와 금융투자의 ABC,동덕여자대학교,이찬희
12199,인공지능 기반 소셜벤처의 비즈니스 모델 개발,고려대학교,최병호
12198,다양성과 공존 그리고 비즈니스 사례,고려대학교,이종구
12196,혁신 경영을 위한 다양성 전략,고려대학교,이종구
12191,스마트 리스크 관리,고려대학교,임종권
12186,리스크 관리의 이해 및 응용,고려대학교,임종권
12099,e-비즈니스,충남대학교,박경혜
12093,Entrepreneurship,우송대학교,Anura Amarasena
12091,Customer Relationship Management in Hospitality Industry,우송대학교,Raweewan Proyrungroj 
12090,Managing and Improving Quality,우송대학교,이유택
12087,International Management,우송대학교,Anura Amarasena
12086,Hospitality Customer Behavior and Insights,우송대학교,Raweewan Proyrungroj
12064,지역혁신을 이끄는 로컬 이노베이터 실무교육과정,건국대학교(글로컬),오득균
12051,The art of corporate strategy,인천대학교,박현준
12007,자산관리와 인생재무제표,영남대학교,"박종국, 홍영은"
11994,리더의 전략적 의사결정 ,서강대학교,민재형
11993,증권투자이론 기초,동아대학교,한덕희
11975,빅데이터와 고객관계관리,평택대학교,김승욱
11956,창업의 길라잡이,서원대학교,이용철
11945,일상생활 속 경영이야기,동서대학교,공희숙
11915,기업가정신과 기업가적 행동,경기대학교,임진혁
11890,알기 쉬운 부동산 경매,세명대학교,김상진
11886,국제무역론,충남대학교,오근엽
11885,투자론(R과 Excel을 통한 금융데이터 분석),충남대학교,장호규
11875,지혜로운 금융생활,울산과학대학교,천정애
11873,소셜벤처 스킬업 심화과정,한양여자대학교,안지훈
11870,소셜벤처 스킬업 기본과정,한양여자대학교,안지훈
11869,소셜벤처 스타트업 과정,한양여자대학교,안지훈
