id,name,org_name,professor
12557,(MOOC) 위대한 수업3(GREAT MINDS) : 불평등 특집 2부 - 기술과 교육,EBS,로렌츠 카츠
12556,(더빙) 위대한 수업3(GREAT MINDS) : 불평등 특집 2부 - 기술과 교육,EBS,로렌츠 카츠
12554,(수어) 위대한 수업3(GREAT MINDS) : 불평등 특집 2부 - 기술과 교육,EBS,로렌츠 카츠
12553,(방송) 위대한 수업3(GREAT MINDS) : 불평등 특집 2부 - 기술과 교육,EBS,로렌츠 카츠
12354,라이프디자인씽킹 : 직업편,단국대학교,"전은화, 서응교, 정효정"
12353,라이프디자인씽킹 : 전공편,단국대학교,"전은화, 서응교, 정효정"
12352,라이프디자인씽킹 : 직무편,단국대학교,"전은화, 서응교, 정효정"
12351,"렛츠, 라이프디자인씽킹",단국대학교,"전은화, 서응교, 정효정"
12350,글로벌 디자인씽킹 퍼실리테이션,단국대학교,"서응교, 정효정, 김은영, 최환희"
12347,미래를 위한 교수법 ③ : 메타버스를 활용한 교육설계 ,단국대학교,"김민정, 전은화, 정효정, 황윤자, 김혜원"
12346,외국인유학생을 위한 한국대학문화,단국대학교,"임수경, 신정아, 강소영"
12344,세계시민의 말과 글,숙명여자대학교," 구자황, 황영미, 김병길, 곽선혜, 김미경, 박승억, 이광모, 이승훈, 김혜영, 나은미, 이상원, 이상철, 이진남, 황성근"
12272,한국어표현교육론,경희대학교,박동호
12271,한국어이해교육론,경희대학교,박동호
12138,문화와 생활 속 청렴 시즌2,국민권익위원회 청렴연수원,"김경일, 김선욱, 이선영, 로빈, 타베야, 제이슨"
11995,삶과 교육,서강대학교,김재웅
11970,인공지능 시대의 스피치 교육,인천대학교,김평원
11969,인공지능 시대의 미디어 교육,인천대학교,김평원
11968,인공지능 시대의 의사소통 역량 교육,인천대학교,김평원
11807,성인학습 및 상담,대구대학교,양흥권
11802,상담학 들어가기,서울대학교,김창대
11661,나의 내:일을 디자인하다,부산디지털대학교,송창근
11660,재무설계로 안정된 미래를 디자인하다,부산디지털대학교,김재정
11659,행복한 관계와 건강을 디자인하다,부산디지털대학교,"송종원, 하오현"
11658,평생학습으로 내 삶을 디자인하다,부산디지털대학교,심미자
11617,"내일, 내 일은 산업강사",부산디지털대학교,심미자
11609,건강심리학,삼육대학교,서경현
11579,교육데이터 분석,이화여자대학교,이동환
11578,R 프로그래밍의 기초,이화여자대학교,이선복
11577,AI융합교육의 이해,이화여자대학교,정제영
11576,미래교육의 이해,이화여자대학교,정제영
11560,아동의 신비한 언어습득력: 이중언어 아동,이화여자대학교,임동선
