id,name,org_name,professor
12448,미래 비행체 개발,한국항공대학교,"박상혁, 조문성, 정동원"
12447,안전한 유·무인항공기 비행,한국항공대학교,"장민식, 김영태, 김휘양, 김상현, 이금진, 이장룡"
12445,유인항공교통에서 무인항공교통으로,한국항공대학교,"김휘양, 김상현, 이장룡, 백호종"
12085,철도인프라 BIM 활용기술,우송대학교,"신민호 외 12명(김진만,최재웅,김성훈,최용호,김환용,이상호,이일수,강인석,강태욱,김영휘,강전용,이화형)"
11941,자율주행자동차기술,국민대학교,"강연식, 임세준, 유진우, 김준호, 이재구"
11868,헬리콥터 비행의 이해 : 한계 그리고 도전,한국과학기술원,이덕주
11335,자동차기능실습,한국연구재단 산업교육센터,"신성환, 이성욱"
11259,미래 비행체 개발,한국항공대학교,"박상혁, 조문성, 정동원"
11249,안전한 유·무인항공기 비행,한국항공대학교,"장민식, 김영태, 김휘양, 김상현, 이금진, 이장룡"
11247,유인항공교통에서 무인항공교통으로,한국항공대학교,"김휘양, 김상현, 이장룡, 백호종"
10299,자율주행제어 이론 및 실습,경북대학교,한경석 
10055,미래 모빌리티 최신 기술동향,울산대학교,"안경관, 임옥택, 박기서, 이윤호, 김보흥, 이주호"
9772,유인항공교통에서 무인항공교통으로,한국항공대학교,"김휘양, 김상현, 백호종"
9770,안전한 유·무인항공기 비행,한국항공대학교,"장민식, 김영태, 김휘양, 김상현, 이금진, 이장룡"
9756,미래 비행체 개발,한국항공대학교,"박상혁, 조문성, 정동원"
9598,철도인프라 BIM 활용기술,우송대학교,"신민호 외 12명(김진만,최재웅,김성훈,최용호,김환용,이상호,이일수,강인석,강태욱,김영휘,강전용,이화형)"
9597,Introduction to Railroad Systems,우송대학교,Binayak Bhandari
9244,현대철도의 이해,우송대학교,
8669,철도차량동역학,한국교통대학교,강주석
7709,철도인프라 BIM 활용기술,우송대학교,"신민호 외 12명(김진만,최재웅,김성훈,최용호,김환용,이상호,이일수,강인석,강태욱,김영휘,강전용,이화형)"
7704,Introduction to Railroad Systems,우송대학교,Binayak Bhandari
7703,Introduction to Railroad Systems,우송대학교,Binayak Bhandari
4836,자동차기능실습,한국연구재단 산업교육센터,"신성환, 이성욱"
3653,자율주행자동차기술,국민대학교,"강연식, 임세준, 유진우, 김준호, 이재구"
3411,유인항공교통에서 무인항공교통으로,한국항공대학교,"김휘양, 김상현, 백호종"
3409,안전한 유·무인항공기 비행,한국항공대학교,"장민식, 김영태, 김휘양, 김상현, 이금진, 이장룡"
3408,미래 비행체 개발,한국항공대학교,"박상혁, 조문성, 정동원"
3355,헬리콥터 비행의 이해 : 한계 그리고 도전,한국과학기술원,이덕주
