id,name,org_name,professor
12480,인텔리전트 타이어 기술,한국연구재단 산업교육센터,조희영 
12427,미래를 열어가는 로봇 신기술과 그 응용,서울대학교,"조규진, 이동준, 박용래, 박재흥"
12267,기계요소설계기초(Fundamentals of Machine Component Design),한국연구재단 산업교육센터,"박정우, 곽재복, 이정원"
12155,기계공학의 미래,울산대학교,임옥택
11930,드론 제작 정비 실습,동서울대학교,"조영민,권준범"
11929,드론 설계 제작 이론,동서울대학교,"김중관,조영민"
11827,나노 공정과 생산,포항공과대학교,노준석
11766,객체지향형 도면해독[Object-Oriented Drawings Understanding],인하공업전문대학,장동환
11652,탄소중립 실현을 위한 히트펌프 입문,서울시립대학교,이동찬
11445,LabVIEW,한국공학대학교,강대진
11322,"제조시스템 심화교육과정 (CNC-HMI, 머신세팅 및 측정)",건솔루션(주),"백봉기, 진현우 "
11320,AI 기반 기초 이론,건솔루션(주),"김영훈, 전현우"
11317,스마트공장과 CAD/CAM/CNC,건솔루션(주),엄주명
11270,미래를 열어가는 로봇 신기술과 그 응용,서울대학교,"조규진, 이동준, 박용래, 박재흥"
11187,미래자동차혁명,한국연구재단 산업교육센터,"김선희, 김종찬, 신성환, 양지현, 유진우, 이근호, 이성욱, 전상훈"
11148,전기자동차 구동시스템,경기과학기술대학교(매치업),"오만진, 유정서, 박동수"
11147,전기자동차 분배∙충전시스템,경기과학기술대학교(매치업),박형배
11108,전기자동차 고전압 안전,경기과학기술대학교(매치업),"박성호, 이후경"
11107,전기자동차 배터리 시스템,경기과학기술대학교(매치업),"박동수, 김민정, 박성호"
10209,동역학(Dynamics),한국연구재단 산업교육센터,"손정현, 유완석"
10207,인텔리전트 타이어 기술,한국연구재단 산업교육센터,조희영 
10206,기계요소설계기초(Fundamentals of Machine Component Design),한국연구재단 산업교육센터,"박정우, 곽재복, 이정원"
10107,예제를 활용한 알기 쉬운 열역학,군산대학교,김명준
10045,기계공학의 미래,울산대학교,임옥택
10022,정역학,군산대학교,박현범
9973,나노 공정과 생산,포항공과대학교,노준석
9873,에어로졸개론,금오공과대학교,서영진
9872,전산유체역학,금오공과대학교,김동주
9871,응용유체역학,금오공과대학교,박준영
9870,미세먼지를 알아보자!,금오공과대학교,"박준영, 김동주, 서영진, 이정훈"
9824,탄소중립 실현을 위한 히트펌프 입문,서울시립대학교,이동찬
9471,자동차-SW-디자인 융합기술의 기초,국민대학교,"구상, 이성욱, 이상범, 김종찬, 김상철"
9435,객체지향형 도면해독[Object-Oriented Drawings Understanding],인하공업전문대학,장동환
8846,고체역학,부산대학교,안득만
7176,자율주행의 기초 및 자율주행 플랫폼을 활용한 시스템 구축 방법,한국교통안전공단 자동차안전연구원,"나재원, 신동훈, 박만복, 백수황,이기범,정지욱"
7175,자율주행의 기초 및 자율주행 플랫폼을 활용한 시스템 구축 방법,한국교통안전공단 자동차안전연구원,"나재원, 신동훈, 박만복, 백수황"
7174,자율주행의 기초 및 자율주행 플랫폼을 활용한 시스템 구축 방법,한국교통안전공단 자동차안전연구원,"나재원, 신동훈, 박만복, 백수황"
6109,Fun-MOOC : 기계는 영원하다!,"서울대, 한국과학기술원, 포항공대",
5879,차량용 제어 시스템,성균관대학교,황성호
5689,센서 및 구동기,서울과학기술대학교,"박우태, 안지환, 김관래"
5684,Drone-원리부터 프로그래밍까지,서울과학기술대학교,박희재
5679,Humanoid Robot,서울과학기술대학교,김정엽
5673,Mobile Robot Perception and Navigation,서울과학기술대학교,하종은
5667,Robot Manipulator and Underwater Robot Application,서울과학기술대학교,김진현
5256,연속체 역학과 유한요소해석,포항공과대학교,박성진
5234,나노 공정과 생산,포항공과대학교,노준석
5233,나노 공정과 생산,포항공과대학교,노준석
5225,통합재료역학,포항공과대학교,박성진 외
4988,유체역학,부산대학교,김경천
4985,유체역학,부산대학교,김경천
4604,방위산업과 사업관리Defense Industry and Defense Acquisition Program,경남대학교,"문영대,이순기,엄홍섭"
4432,열역학1,금오공과대학교,
4425,유체역학,금오공과대학교,
4416,[집콕]대기오염개론,금오공과대학교,이정훈
4411,[집콕]에어로졸개론,금오공과대학교,서영진
4406,[집콕]전산유체역학,금오공과대학교,김동주
4401,[집콕]응용유체역학,금오공과대학교,박준영
4396,[집콕]미세먼지를 알아보자!,금오공과대학교,"박준영, 김동주, 서영진, 이정훈"
4275,LabVIEW,한국공학대학교,강대진
3661,자동차-SW-디자인 융합기술의 기초,국민대학교,"구상, 이성욱, 이상범, 김종찬, 김상철"
3407,센서(응용)공학,강원대학교,이정완
3342,음향학의 기초,한국과학기술원,김양한
3339,동역학 II ,한국과학기술원,김양한
3338,동역학 I,한국과학기술원,
3335,동역학,한국과학기술원,
3130,로봇공학과 인공지능,전남대학교,"박종오, 홍아영"
3071,서비스 로봇,전남대학교,박종오
2644,객체지향형 도면해독,인하공업전문대학,장동환
2289,디자인 프로세스,홍익대학교,지해성
354,신제품 설계론,중앙대학교,오세훈
