id,name,org_name,professor
12579,(MOOC) 위대한 수업3(GREAT MINDS) : 불평등 특집 3부 - 빅 데이터 분석,EBS,라즈 체티
12578,(더빙) 위대한 수업3(GREAT MINDS) : 불평등 특집 3부 - 빅 데이터 분석,EBS,라즈 체티
12577,(수어) 위대한 수업3(GREAT MINDS) : 불평등 특집 3부 - 빅 데이터 분석,EBS,라즈 체티
12576,(방송) 위대한 수업3(GREAT MINDS) : 불평등 특집 3부 - 빅 데이터 분석,EBS,라즈 체티
12547,메타버스 생활과학 VR 실험실,군산대학교,"주정훈, 김욱성, 김강주, 강경아, 김요섭, 김용이, 박혜영, 이현영, 조혜영"
12483,(MOOC) 위대한 수업3(GREAT MINDS) : 협력의 뇌 과학,EBS,크리스 프리스
12479,(수어) 위대한 수업3(GREAT MINDS) : 협력의 뇌 과학,EBS,크리스 프리스
12478,(더빙) 위대한 수업3(GREAT MINDS) : 협력의 뇌 과학,EBS,크리스 프리스
12477,(MOOC) 위대한 수업3(GREAT MINDS) : 불평등 특집 1부 - 진단,EBS,조지프 스티글리츠
12476,(더빙) 위대한 수업3(GREAT MINDS) : 불평등 특집 1부 - 진단,EBS,조지프 스티글리츠
12474,(수어) 위대한 수업3(GREAT MINDS) : 불평등 특집 1부 - 진단,EBS,조지프 스티글리츠
12429,(방송) 위대한 수업3(GREAT MINDS) : 불평등 특집 1부 - 진단,EBS,조지프 스티글리츠
12403,이공계열 학생을 위한 캡스톤 디자인 소개,호서대학교,박차식
12286,항만물류와 4차 산업혁명Ⅱ,여수광양항만공사,"안창원, 장양자, 김현덕, 김종락, 이준호, 전형모"
12157,PACK&TECH: 패키징(기초편),연세대학교(미래),이윤석
12151,창의적 문제해결을 위한 생각 프로세스Ⅱ,울산대학교,최원준
12147,스마트팩토리 : IoT와 AI로 제조를 혁신하다Ⅱ,울산대학교,황규선
12146,미래모빌리티 : 자동차산업의 트렌드와 기술Ⅱ,울산대학교,"조강현, 전태원, 안경관, 구인수, 최성진, 이윤호, 박기서"
12134,창의적 문제해결을 위한 생각 프로세스Ⅰ,울산대학교,최원준
12125,미래모빌리티 : 자동차산업의 트렌드와 기술Ⅰ,울산대학교,"조강현, 전태원, 안경관, 구인수, 최성진, 이윤호, 박기서"
12111,파동과 정보통신,초당대학교,"장종목, 진채문"
12110,"열역학법칙, 물질과 전자기장",초당대학교,"진채문, 장종목"
12108,일과 에너지,초당대학교,"장종목, 진채문"
12107,힘과 운동,초당대학교,"장종목, 진채문"
12106,기하와 벡터,초당대학교,"오흥준, 정진호"
12105,확률과 통계,초당대학교,"오흥준, 정진호"
12104,미적분학,초당대학교,"오흥준, 송찬황"
12103,함수의 극한 미분적분,초당대학교,"오흥준, 송찬황"
12048,4차산업혁명 시대의 디지털 윤리,서울여자대학교,윤미선
12032,(방송) 위대한 수업3(GREAT MINDS) : 협력의 뇌 과학,EBS,크리스 프리스
11965,엔지니어 정약용 탐구,인천대학교,"김평원, 전광길"
11808,환경의 역습! 원인과 우리의 대처,건국대학교,배성준
11797,(수어) 위대한 수업3(GREAT MINDS) : 이란의 봄,EBS,시린 에바디
11784,(더빙) 위대한 수업3(GREAT MINDS) : 이란의 봄,EBS,시린 에바디
11712,(MOOC) 위대한 수업3(GREAT MINDS) : 이란의 봄,EBS,시린 에바디
11692,(더빙) 위대한 수업3(GREAT MINDS) : 기업가가 된 발명가,EBS,제임스 다이슨
11614,벡터미적분학Ⅰ,국립부경대학교,안예찬
11612,(MOOC) 위대한 수업3(GREAT MINDS) : 기업가가 된 발명가,EBS,제임스 다이슨
