id,name,org_name,professor
12537, 말 관련 상식 및 법규,한국마사회,"윤여경, 심재준"
12536,말보건관리·재활승마이론 기초과정,한국마사회,"김진갑, 정태운"
12535,말조련 실무 기초과정,한국마사회,"권승주, 전재식"
12534,마학·마술학 기초과정,한국마사회,"김병선, 이은정"
12430,음식으로 이루어진 세상,조선대학교,신현재
12238,2024년 스마트팜 데이터관리 전문가 기초과정(1차),연암대학교,"정대호, 문태원"
12237,2024년 스마트팜 작물보호 전문가 기초과정(1차),연암대학교,"이현아, 김태일, 백종열, 배익현, 김동건, 구본혁"
12097, 말 관련 상식 및 법규,한국마사회,"윤여경, 심재준"
12096,마학·마술학 기초과정,한국마사회,"김병선, 이은정"
12095,말조련 실무 기초과정,한국마사회,"권승주, 전재식"
12094,말보건관리·재활승마이론 기초과정,한국마사회,"김진갑, 정태운"
12017,식품위생학,대구대학교,임무혁
11960,2024년 스마트팜 작물재배 전문가 기초과정(1차),연암대학교,"장미하, 손다니엘"
11957,2024년 스마트팜 시설에너지관리 전문가 기초과정(1차),연암대학교,"김주원, 구자정, 심근섭, 신세계, 신명섭"
11921,식품위생법규(Food Sanitation Act),대구대학교,임무혁
11742,서울대 소장품 감상하기: 자연을 중심으로,서울대학교,김현석
11635,임상증상으로 알아보는 반려동물의 질병,연성대학교,"이왕희, 이수정"
11608,국제개발협력의 이해,충북대학교,송양훈
11382,(수어) 히든 히어로즈 : 민둥산에서 420조의 가치를 조림하다! K-포레스트의 기적,JTBC,
11381,(MOOC) 히든 히어로즈 : 민둥산에서 420조의 가치를 조림하다! K-포레스트의 기적,JTBC,
11237,"(수어) 히든 히어로즈 : K-종자, 65조 시장을 접수하다",JTBC,
11154,"(MOOC) 히든 히어로즈 : K-종자, 65조 시장을 접수하다",JTBC,
10656,식품위생학,대구대학교,임무혁
10337,음식으로 이루어진 세상,조선대학교,신현재
9562,식품위생법규(Food Sanitation Act),대구대학교,임무혁
9533,숲으로 떠나는 건강여행,충북대학교,신원섭
9443,임상증상으로 알아보는 반려동물의 질병,연성대학교,"이왕희, 이수정"
7943,서울대 소장품 감상하기: 자연을 중심으로,서울대학교,김현석
7752,임상증상으로 알아보는 반려동물의 질병,연성대학교,"이왕희, 이수정"
3398,식물공장,강원대학교,최기영
2908,펫 소품 디자인,장안대학교,"손아름, 김지은"
2903,반려견 컷 스타일링,장안대학교,배숙주
2898,반려견 기본예절훈련,장안대학교,"손아름, 한만수"
2893,반려동물의 이해,장안대학교,오희경
2888,기초 반려견 스타일링,장안대학교,오희경
1345,식품위생법규(Food Sanitation Act),대구대학교,임무혁
