id,name,org_name,professor
12606,데이터시각화기반 UX디자인 개론,한국연구재단 산업교육센터,정의철
12182,인공지능 기반 디자인 트렌스포메이션,고려대학교,최병호
12067,리빙프로덕트디자인,건국대학교(글로컬),김성현
11944,한국예술과 디자인 입문,동서대학교,"운지영, 장주영"
11896,컬러리스트 산업기사 과정,한양여자대학교,강희명
11812,어패럴패턴캐드,대구대학교,최영림
11774,상징디자인의 이해[Understanding of Symbolic Design],인하공업전문대학, 장은석
11771,조명디자인[Lighting Design],인하공업전문대학,김자경
11750,인간 중심 성찰과 디자인,서울대학교,정의철
11423,디자인의 이해,국민대학교,"연명흠, 이민, 윤나리"
11293,공간디자인과 스페이스마케팅,동아대학교,한현석
11119,"(수어) 차이나는 K-클라스 : 세계가 입덕한 21세기 한복 (김단하, 김리을)",JTBC,김리을 김단하
11118,"(MOOC) 차이나는 K-클라스 : 세계가 입덕한 21세기 한복 (김단하, 김리을)",JTBC,김리을 김단하
10278,상징디자인의 이해,인하공업전문대학, 장은석
10180,데이터시각화기반 UX디자인 개론,한국연구재단 산업교육센터,정의철
10125,한국예술과 디자인 입문,동서대학교,"운지영, 장주영"
10010,UI 디자인,한양대학교(ERICA),"정의태, 정의철, 연명흠"
10009,UX/UI 디자인 프로젝트,한양대학교(ERICA),"정의태, 정의철, 연명흠"
10008,UX 디자인,한양대학교(ERICA),"정의태, 정의철, 연명흠"
9989,UX/UI 디자인 입문,한양대학교(ERICA),"정의태, 정의철, 연명흠"
9874,디자인의 이해,국민대학교,"연명흠, 이민, 윤나리"
9843,실전 타이포그래피,동서대학교,김경원
9811,인공지능 기반 디자인 트렌스포메이션,고려대학교,최병호
9559,어패럴패턴캐드,대구대학교,최영림
9466,리빙프로덕트디자인,건국대학교(글로컬),김성현
9440,조명디자인[Lighting Design],인하공업전문대학,김자경
9334,컬러리스트 산업기사 과정,한양여자대학교,강희명
8784,트렌드 업 스타일,건양사이버대학교,임옥진
8031,인간 중심 성찰과 디자인,서울대학교,정의철
8002,데이터시각화기반 UX디자인 개론,한국연구재단 산업교육센터,정의철
7625,"여태명, 캘리그라피 표정담기",원광대학교,여태명
7605,UX/UI 비즈니스 훈련 취업을 위한 전략 컨설팅,(주)웅진씽크빅,"이성경, 심용재"
7238,패션.메이크업으로 본 북한사회 변화,국립통일교육원,박계리
6956,영화 코스튬 디자인,성신여자대학교,Chloe Ji Yoon (윤지향)
3969,인공지능 기반 디자인 트렌스포메이션,고려대학교,최병호
3654,디자인의 이해,국민대학교,"연명흠, 이민, 윤나리"
3614,리빙프로덕트디자인,건국대학교(글로컬),김성현
2933,뷰티 스타일링,장안대학교,이언영
2928,방송&무대 스타일링,장안대학교,김현량
2923,광고&잡지 스타일링,장안대학교,조인실
2918,20세기 패션,장안대학교,김현량
2913,기초 스타일링,장안대학교,이언영
2628,조명디자인,인하공업전문대학,김자경
2572,컬러리스트 산업기사 과정,한양여자대학교,강희명
2484,과학기술혁신시대의 디자인이슈,한양대학교,현은령
2429,UI 디자인,한양대학교(ERICA),"정의태, 정의철, 연명흠"
2428,UI 디자인,한양대학교(ERICA),"정의태, 정의철, 연명흠"
2426,UX/UI 디자인 프로젝트,한양대학교(ERICA),"정의태, 정의철, 연명흠"
2425,UX/UI 디자인 프로젝트,한양대학교(ERICA),"정의태, 정의철, 연명흠"
2423,UX 디자인,한양대학교(ERICA),"정의태, 정의철, 연명흠"
2422,UX 디자인,한양대학교(ERICA),"정의태, 정의철, 연명흠"
2150,컴퓨터 패션 일러스트,광주대학교,허승연
1258,어패럴패턴캐드,대구대학교,최영림
1257,어패럴패턴캐드,대구대학교,최영림
1256,어패럴패턴캐드,대구대학교,최영림
