id,name,org_name,professor
12324,한국춤을 통한 한국문화 읽기Ⅰ(기원부터 K-POP까지),인하대학교 K학술확산연구소,양민아
12211,액티브시니어를 위한 힐링 요가,동덕여자대학교,곽애영
12210,시니어 건강운동 지도자를 위한 이론과 실제,동덕여자대학교,곽애영
12209,바디발란스,동덕여자대학교,곽애영
12208,신체이완과 움직임 (소메틱 소도구 필라테스),동덕여자대학교,곽애영
12206,활쏘기,동덕여자대학교,김창선
11954,"몸, 숨, 맘 요가 (YBBM : Yoga for Body, Breath and Mind)",춘해보건대학교,"곽미자, 이수진, 오지영"
11940,축구 기본기술의 이해,전주대학교,정경구
11866,지역 스포츠산업의 이해와 실제,조선대학교,김민철
11832,태권도 겨루기와 멘탈관리,경일대학교,"손태진, 이건영"
11773,김기훈과 함께하는 알기쉬운 스케이트,울산과학대학교,김기훈
11644,"장애, 체육을 만나다: 장애인체육 제대로 알기",서울시립대학교,진주연
11610,(더빙) 위대한 수업3(GREAT MINDS) : 예술이 된 서커스,EBS,다니엘 라마르
11497,(MOOC) 위대한 수업3(GREAT MINDS) : 예술이 된 서커스,EBS,다니엘 라마르
11496,(수어) 위대한 수업3(GREAT MINDS) : 예술이 된 서커스,EBS,다니엘 라마르
11428,(방송) 위대한 수업3(GREAT MINDS) : 예술이 된 서커스,EBS,다니엘 라마르
11296,쉽게 따라하는 건강 퍼스널 트레이닝,동아대학교,신기옥
11117,활쏘기,동덕여자대학교,김창선
11116,신체이완과 움직임 (소메틱 소도구 필라테스),동덕여자대학교,곽애영
11115,바디발란스,동덕여자대학교,곽애영
11098,"(수어) 세대별 교양 : 나는 여전히 내일이 궁금하다(차이나는 클라스, 김성녀)",JTBC,김성녀
11097,"(MOOC) 세대별 교양 : 나는 여전히 내일이 궁금하다(차이나는 클라스, 김성녀)",JTBC,김성녀
10813,(수어) 차이나는 K-클라스 : 볼수록 매력적인 전통미술 속 K-미소(정명희),JTBC,정명희
10812,(MOOC) 차이나는 K-클라스 : 볼수록 매력적인 전통미술 속 K-미소(정명희),JTBC,정명희
10804,"(수어) 차이나는 K-클라스 : 애매모호한 춤, 세상을 뒤집다(김보람)",JTBC,김보람
10802,"(MOOC) 차이나는 K-클라스 : 애매모호한 춤, 세상을 뒤집다(김보람)",JTBC,김보람
10697,"(수어) 세대별 교양 : 여러분은 춤추고 꿈꾸고 있나요(차이나는 클라스, 리아킴편)",JTBC,리아킴
10696,"(MOOC) 세대별 교양 : 여러분은 춤추고 꿈꾸고 있나요(차이나는 클라스, 리아킴편)",JTBC,리아킴
10508,축구 기본기술의 이해,전주대학교,정경구
10392,태권도 겨루기와 멘탈관리,경일대학교,"손태진, 이건영"
10026,K-POP을 통해 배우는 STREET DANCE 기초 3,김포대학교,차호찬
10025,K-POP을 통해 배우는 STREET DANCE 기초 2,김포대학교,김현문
9980,체육학개론,한국체육대학교,"조욱상, 구정훈, 김일광, 김홍식, 박재현, 오재근, 윤석훈, 장익영, 정성현, 조준호"
9918,신체이완과 움직임 (소메틱 소도구 필라테스),동덕여자대학교,곽애영
9917,바디발란스,동덕여자대학교,곽애영
9916,시니어 건강운동 지도자를 위한 이론과 실제,동덕여자대학교,곽애영
9915,액티브시니어를 위한 힐링 요가,동덕여자대학교,곽애영
9914,활쏘기,동덕여자대학교,김창선
9908,한국춤을 통한 한국문화 읽기Ⅰ(기원부터 K-POP까지),인하대학교 K학술확산연구소,양민아
9884,"몸, 숨, 맘 요가 (YBBM : Yoga for Body, Breath and Mind)",춘해보건대학교,"곽미자, 이수진, 오지영"
9774,지역 스포츠산업의 이해와 실제(Understand and Practicing Local Sports Industry),조선대학교,김민철
9751,김기훈과 함께하는 알기쉬운 스케이트,울산과학대학교,김기훈
9316,K-POP을 통해 배우는 STREET DANCE 기초 3,김포대학교,차호찬
9315,K-POP을 통해 배우는 STREET DANCE 기초 2,김포대학교,김현문
9267,발레의 이해와 아름다운 몸 만들기,영남대학교,우혜영
7930,운동은 약이다: 이론과 실제,연세대학교,
7632,스포츠마케팅론,원광대학교,문개성
7228,K-POP을 통해 배우는 STREET DANCE 기초 3,김포대학교,차호찬
7227,K-POP을 통해 배우는 STREET DANCE 기초 2,김포대학교,김현문
7226,K-POP을 통해 배우는 STREET DANCE 기초 1,김포대학교,양은진
7214,김기훈과 함께하는 알기쉬운 스케이트,울산과학대학교,김기훈
6833,발레 : 융합문화예술의 실제 Ⅰ,성신여자대학교,김주원
6819,발레 : 융합문화예술의 실제 Ⅱ,성신여자대학교,김주원
3701,체육학개론,한국체육대학교,"조욱상, 구정훈, 김일광, 김홍식, 박재현, 오재근, 윤석훈, 장익영, 정성현, 조준호"
3540,운동선수는 외계인인가?,경희대학교,박현
3536,[집콕]운동선수는 외계인인가?,경희대학교,박현
3214,한국춤을 통한 한국문화 읽기Ⅰ(기원부터 K-POP까지),인하대학교 K학술확산연구소,양민아
1724,활쏘기,동덕여자대학교,김창선
1723,전통활쏘기,동덕여자대학교,김창선
1720,액티브시니어를 위한 힐링 요가,동덕여자대학교,곽애영
1719,액티브시니어를 위한 힐링 요가,동덕여자대학교,곽애영
1715,시니어 건강운동 지도자를 위한 이론과 실제,동덕여자대학교,곽애영
1714,시니어 건강운동 지도자를 위한 이론과 실제,동덕여자대학교,곽애영
1705,바디발란스,동덕여자대학교,곽애영
1704,바디발란스,동덕여자대학교,곽애영
1695,신체이완과 움직임 (소메틱 소도구 필라테스),동덕여자대학교,곽애영
1694,신체이완과 움직임 (소메틱 소도구 필라테스),동덕여자대학교,곽애영
530,"몸, 숨, 맘 요가 (YBBM : Yoga for Body, Breath and Mind)",춘해보건대학교,"곽미자, 이수진, 오지영"
529,"몸, 숨, 맘 요가 (YBBM : Yoga for Body, Breath and Mind)",춘해보건대학교,"곽미자, 이수진, 오지영"
