id,name,org_name,professor
12281,(MOOC) 위대한 수업3(GREAT MINDS) : 그림은 어떻게 이야기가 되는가,EBS,앤서니 브라운
12280,(더빙) 위대한 수업3(GREAT MINDS) : 그림은 어떻게 이야기가 되는가,EBS,앤서니 브라운
12279,(수어) 위대한 수업3(GREAT MINDS) : 그림은 어떻게 이야기가 되는가,EBS,앤서니 브라운
11923,(방송) 위대한 수업3(GREAT MINDS) : 그림은 어떻게 이야기가 되는가,EBS,앤서니 브라운
11748,서울대 소장품 감상하기: 예술을 중심으로 ,서울대학교,서울대학교
11455,예술적 얼굴과 감정조절,성신여자대학교,임상빈
11129,(수어) 차이나는 K-클라스 : 시대와 호흡한 K-건축의 세계(김봉렬),JTBC,김봉렬
11128,(MOOC) 차이나는 K-클라스 : 시대와 호흡한 K-건축의 세계(김봉렬),JTBC,김봉렬
11114,"(수어) 차이나는 K-클라스 : K컬처의 뿌리, 조선 회화의 양대 거장(유홍준)",JTBC,유홍준
11112,"(MOOC) 차이나는 K-클라스 : K컬처의 뿌리, 조선 회화의 양대 거장(유홍준)",JTBC,유홍준
11106,"(수어) 차이나는 K-클라스 : K컬처의 뿌리, 고대 한국의 문화유산(유홍준)",JTBC,유홍준
11105,"(MOOC) 차이나는 K-클라스 : K컬처의 뿌리, 고대 한국의 문화유산(유홍준)",JTBC,유홍준
10841,"(수어) 차이나는 K-클라스 : 하이테크와 예술의 만남, K-도자기(이애령)",JTBC,이애령
10840,"(MOOC) 차이나는 K-클라스 : 하이테크와 예술의 만남, K-도자기(이애령)",JTBC,이애령
10838,"(MOOC) 차이나는 K-클라스 : 지금은 웹툰 시대(한창완, 이종범)",JTBC,"한창완,  이종범"
10837,"(수어) 차이나는 K-클라스 : 지금은 웹툰 시대(한창완, 이종범)",JTBC,"한창완,  이종범"
10345,명화의 심리,건양대학교,박완용
9938,현대미술 바로 알기,한서대학교,홍창호
8243,음악과 미술 사이,대구가톨릭대학교,정우진
8059,예술적 얼굴과 감정조절,성신여자대학교,임상빈
8034,서울대 소장품 감상하기: 예술을 중심으로 ,서울대학교,서울대학교
6992,예술적 얼굴과 감정조절,성신여자대학교,임상빈
3948,명화의 심리,건양대학교,박완용
1609,이유 있는 미술 시간,단국대학교,조기주
