id,name,org_name,professor
12326,The Making of International Law in Korea,인하대학교 K학술확산연구소,이석우
12224,해상운송론,한국해양대학교,정영석
12222,선하증권론,한국해양대학교,정영석
12165,민법학입문,고려대학교,명순구
12100,생활법률,충남대학교,류광해
12079,법집행의 딜레마,서원대학교,김영식
12066,비교경찰론,건국대학교(글로컬),최대현
12057,법 on Air,순천향대학교,최한준
11883,사회적 가치와 개인의 자유,충남대학교,류광해
11859,유튜브와 SNS에서 저작권,조선대학교,한지영
11855,공동주택 분쟁 이해,조선대학교,강혁신
11654,"알기 쉬운 가족법 – 태어날 때, 사랑할 때, 이 세상을 떠날 때 적용되는 법",서울시립대학교,권재문
11569,직업세계와 법,이화여자대학교,
11566,의생명과학기술과 법,이화여자대학교,이원복
11544,공정사회로 가는 계약법,부산대학교,윤석찬
11526,삶과 경력개발,인천대학교,박용호
11516,ICT가 바꾸는 미래의 법,광운대학교,선지원
11487,삶과 경력개발,인천대학교,박용호
11461,헌법: 갈등해결의 코드,성신여자대학교,김연식
11459,"기본권, 세상과 통하는 法",성신여자대학교,김연식
11458,"의료사고, 법으로 이해하기",성신여자대학교,김나경
11331,"직장 내 괴롭힘, 양성평등 외",법률사무소 바탕,"김희원, 홍세욱"
11330,임금과 근로시간,법률사무소 바탕,"홍세욱, 김희원"
11329,근로관계의 종료,법률사무소 바탕,"김희원, 홍세욱"
11328, 근로관계의 형성,법률사무소 바탕,"홍세욱, 김희원"
11218,한국의 시민권과 네이션,인하대학교 K학술확산연구소,이철우
11204,공정사회로 가는 계약법,부산대학교,윤석찬
11104, 근로관계의 형성,법률사무소 바탕,"홍세욱, 김희원"
11103,근로관계의 종료,법률사무소 바탕,"김희원, 홍세욱"
11102,임금과 근로시간,법률사무소 바탕,"홍세욱, 김희원"
11101,"직장 내 괴롭힘, 양성평등 외",법률사무소 바탕,"김희원, 홍세욱"
10729,(MOOC) 위대한 수업1(GREAT MINDS) : 세계의 헌법,EBS,어윈 체머런스키
10728,(수어) 위대한 수업1(GREAT MINDS) : 세계의 헌법,EBS,어윈 체머런스키
10727,(더빙) 위대한 수업1(GREAT MINDS) : 세계의 헌법,EBS,어윈 체머런스키
10585,생활법률,충남대학교,류광해
10465,[수강이벤트] 직업세계와 법,이화여자대학교,
10161,개인정보: 보호와 이용의 법과 권리,중앙대학교,이인호
9906,The Making of International Law in Korea,인하대학교 K학술확산연구소,이석우
9806,공동주택 분쟁 이해,조선대학교,강혁신
9794,민법학입문,고려대학교,명순구
9784,유튜브와 SNS에서 저작권,조선대학교,한지영
9739,법 on Air,순천향대학교,최한준
9734,공정사회로 가는 계약법,부산대학교,윤석찬
9674,사회적 가치와 개인의 자유,충남대학교,류광해
9638,생활 속의 헌법 이야기,선문대학교,이희훈
9590,ICT가 바꾸는 미래의 법,광운대학교,선지원
9500,선하증권론,한국해양대학교,정영석
9468,비교경찰론,건국대학교(글로컬),최대현
9376,의생명과학기술과 법,이화여자대학교,이원복
8692,창조적 콘텐츠의 디자인 보호와 저작권 알기,건국대학교,정연덕
8056,"의료사고, 법으로 이해하기",성신여자대학교,김나경
8055,"기본권, 세상과 통하는 法",성신여자대학교,김연식
8053,헌법: 갈등해결의 코드,성신여자대학교,김연식
7813,지식재산권,영남대학교,문호지
7081,생활 속의 헌법 이야기,선문대학교,이희훈
7080,생활 속의 헌법 이야기,선문대학교,이희훈
7076,[집콕]생활 속의 헌법 이야기,선문대학교,이희훈
6972,"의료사고, 법으로 이해하기",성신여자대학교,김나경
6964,"기본권, 세상과 통하는 法",성신여자대학교,김연식
6936,헌법: 갈등해결의 코드,성신여자대학교,김연식
6751,문학과 영화를 통한 법의 이해,숙명여자대학교,홍성수
5326,법 on Air,순천향대학교,최한준
5036,공정사회로 가는 계약법,부산대학교,윤석찬
4251,세계로 열려있는 한국의 형법학 입문,고려대학교,강수진
4224,민법학입문,고려대학교,명순구
4219,[집콕]민법학입문,고려대학교,명순구
3631,비교경찰론,건국대학교(글로컬),최대현
3388,영화로 보는 법과 사회,강원대학교,한상규
3216,The Making of International Law in Korea,인하대학교 K학술확산연구소,이석우
3110,현대인권과 법,전남대학교,안진
2248,"직장 내 괴롭힘, 양성평등 외",법률사무소 바탕,"김희원, 홍세욱"
2247,임금과 근로시간,법률사무소 바탕,"홍세욱, 김희원"
2246,근로관계의 종료,법률사무소 바탕,"김희원, 홍세욱"
2245, 근로관계의 형성,법률사무소 바탕,"홍세욱, 김희원"
2244,법률가와 정치,한동대학교,이국운
2114,기업경영과 법,이화여자대학교,오수근
2046,의생명과학기술과 법,이화여자대학교,이원복
844,사회적 가치와 개인의 자유,충남대학교,류광해
834,실무 행정법,충남대학교,류광해
400,개인정보: 보호와 이용의 법과 권리,중앙대학교,이인호
399,개인정보: 보호와 이용의 법과 권리,중앙대학교,이인호
365,4차산업혁명과 산업보안법제도,중앙대학교,손승우
342,4차산업혁명과 특허,중앙대학교,오세훈
