id,name,org_name,professor
12599,(MOOC) 위대한 수업3(GREAT MINDS) - 권력은 왜 부패하는가,EBS,브라이언 클라스
12598,(수어) 위대한 수업3(GREAT MINDS) - 권력은 왜 부패하는가,EBS,브라이언 클라스
12597,(더빙) 위대한 수업3(GREAT MINDS) - 권력은 왜 부패하는가,EBS,브라이언 클라스
12596,(방송) 위대한 수업3(GREAT MINDS) - 권력은 왜 부패하는가,EBS,브라이언 클라스
12563,합격을 부르는 면접 스피치,(주)웅진씽크빅,최란
12562,공공기관 NCS블라인드 채용,(주)웅진씽크빅,김하늬
12561,"나에게 맞는 '직무'찾기 - 인문,상경계열 편",(주)웅진씽크빅,김하늬
12560,나에게 맞는 '직무'찾기 - 이공계열 편,(주)웅진씽크빅,김하늬
12559,취업준비를 위한 산업분석,(주)웅진씽크빅,김하늬
12558,채용 트렌드&준비 전략,(주)웅진씽크빅,김하늬
12544,KOICA와 함께하는 국제개발협력 첫걸음,한국국제협력단,"장현식, 김병관, 전영은, 곽재성, 김소영, 김영란, 한리라"
12543,KOICA와 함께하는 국제개발협력: 범분야의 이해,한국국제협력단,"이주영, 정은주, 박현정, 박도현, 임은미, 남청수"
12542,KOICA와 함께하는 국제개발협력 분야별 이슈,한국국제협력단,"어규철, 장은정, 최순영, 조정현, 이효정, 최용욱, 김은주, 송수전, 김지현, 이상급"
12540,기술융합시대의 라이프 트렌드,신라대학교,"이은화, 김영일, 김복경, 김성수, 김기현, 윤상석"
12533,모두를 위한 사회학 입문 II,고려대학교,김윤태
12511,문화다양성 전문인력 양성 기본과정 - 문화다양성의 이해,한국문화예술위원회,"권숙인, 지은숙, 구기연, 정헌목, 강지연, 조수미, 강윤희, 이인혜, 조일동"
12481,알기 쉬운 투자행동심리,서울사이버대학교,서영수
12454,청소년커뮤니티 운영의 실제,서울사이버대학교,"서병철, 여정윤, 김영일"
12453,청소년예술활동과 미디어,서울사이버대학교,"이문혁, 조성민"
12451,커뮤니티예술활동의 이론과 실제,서울사이버대학교,"여정윤, 백경실, 이상후, 신혜진"
12444,청소년사회봉사개론,서울사이버대학교,"여정윤, 송영미"
12399,정치와 폭력,조선대학교,공진성
12332,구소련에서의 고려인 사회 형성과 발전,인하대학교 K학술확산연구소,성동기
12331,Korea and International Relations,인하대학교 K학술확산연구소,김의곤
12330,한국의 의회정치,인하대학교 K학술확산연구소,최준영
12329,한국의 민주화와 민주주의,인하대학교 K학술확산연구소,고상두
12328,재일동포의 이해,인하대학교 K학술확산연구소,송석원
12327,한국사회와 정체성,인하대학교 K학술확산연구소,김성진
12325,한국과 해외동포,인하대학교 K학술확산연구소,이진영
12323,한국의 문화외교와 중국 속의 한류,인하대학교 K학술확산연구소,장영덕
12321,한국의 간척과 국토개발,서울대학교 한국경제와 K학술확산연구센터,양선아
12277,(MOOC) 위대한 수업3(GREAT MINDS) : 자본주의 세계지배사 ,EBS,도널드 서순
12276,(수어) 위대한 수업3(GREAT MINDS) : 자본주의 세계지배사 ,EBS,도널드 서순
12275,(더빙) 위대한 수업3(GREAT MINDS) : 자본주의 세계지배사 ,EBS,도널드 서순
12264,AI와 윤리,한경국립대학교,"김원철, 이정민"
12250,인간의 판단과 의사결정,아주대학교,김경일
12203,현대인을 위한 감정 다스리기,고려대학교,최기홍
12173,한국 알리기 외교,고려대학교,"Choong-Hee Hahn, Tae-Yong Cho, Ho-Young Ahn, Tae-Ho Bark, Joon Oh, Young-Jin Choi "
12172,모두를 위한 사회학 입문 Ⅰ,고려대학교,김윤태
12158,공직사회 반부패 원리와 방안,연세대학교(미래),한유성
12156,정부와 행정,연세대학교(미래),한상일
12145,전문탐정사 :  탐정 사례와 실무를 통한 창업과 진로개발,서울디지털대학교,최순호
12129,미디어심리학,서강대학교,나은영
12127,인성과 선원인권,한국해양대학교,"최진철, 이창희"
12113,유네스코 세계유산과 글로벌 시민의식,한림대학교,엄연석
12112,내 안의 세상을 만나는 치유여행 -실존과 심리치료의 만남,백석대학교,한재희
12101,글로벌 네트워킹과 협력:이해와 실제,충남대학교,권재열
12088,Fundamentals of Psychology,우송대학교,Kishor Chandran
12075,미국세법의 이해,중원대학교,이정미
12056,색과 매체로 보는 미술치료,영남대학교,"이민정, 이계희"
12055,사례로 만나는 아동·청소년 미술치료,영남대학교,"안소정, 이계희"
12054,나를 찾아가는 미술치료,영남대학교,최선남
12046,창의적인 사람의 7가지 습관,서울여자대학교,김명주
12043,미술치료로 알아가는 장애와 비장애,영남대학교,이효진
12025,한반도 문제의 입체적 이해: 세 개의 시선으로 바라보기,경남대학교,최영준
12002,디지털 시대의 커뮤니케이션,평택대학교, 이시화
11999,"행정과 인공지능: 정부, AI에 미래를 묻다.",동아대학교,한세억
11998,클릭! 부산(문화와언어),동아대학교,김형빈
11996,아시아계 미국인: 차별과 배제의 정치 ,서강대학교,하상응
11985,생활 속의 지방자치,동아대학교,김형빈
11972,인간행동과 사회환경,평택대학교,이상무
11953,"K-Development, From Where, To Where",영남대학교,"이양수, 정용교, 이주형, 이지선"
11952,외국인을 위한 다문화 한국사회의 이해,영남대학교,"정용교, 박진옥, 이광동, 전경미"
11950,MZ세대의 인간관계법 : 밀레니얼은 어떻게 만나고 성장하는가?,중부대학교,백유미
11942,사랑에 대하여: 과학으로 배우는 성과 젠더,동서대학교,박혜영
11922,(방송) 위대한 수업3(GREAT MINDS) : 자본주의 세계지배사 ,EBS,도널드 서순
11918,범죄자 마음을 엿보다: 안전한 사회를 위하여,경기대학교,이수정
11907,더불어 사는 세상: 난민이야기,한성대학교,오정은
11901,아동상담: 놀이와 예술을 통한 어린이 마음치료 - 아동 문제의 이해와 놀이･예술 심리평가,백석대학교,"김세영, 오종은"
11898,아동상담: 놀이와 예술을 통한 어린이 마음치료 - 놀이･예술 기반 아동상담의 특성과 과정,백석대학교,"김세영, 오종은"
11891,데이터로 말하자,세명대학교,이상준
11878,심리학 START,충남대학교,전우영
11858,재난과 정신건강(Disaster and Mental Health),대구대학교,현진희
11826,내가 모르는 내 성격,경남대학교,이형종
11818,한국사회와 행정,대구대학교,함요상
11816,문화적 다양성과 사회 정의,대구대학교,김연희
11814,세계일주로 배우는 국가와 도시(Learning State and City by traveling around the world),대구대학교,김정렬
11811,소비자행동의 심리학,대구대학교,박은아
11805,전쟁과평화(War and Peace),경남대학교,"이병철,정재욱,김상범"
11804,글로벌이슈와 세계시민(Global Issues and Global Citizenship),경남대학교,"박서화,문미리"
11799,흔들리는 20대 : 청년 심리학,서울대학교,곽금주
11785,다시 찾는 조선의 역사와 인물,건국대학교,신병주
11783,우리유산과 박물관교육 길라잡이,한국전통문화대학교,최종호
11782,민속학과 무형문화유산 길라잡이,한국전통문화대학교,최종호
11777,사회복지 회계행정의 이해,건양사이버대학교,박선아
11765,와인과 테이블매너[Wine and Table Manner],인하공업전문대학,채신석
11763,문화관광상품의 이해[Understanding of cultural tourism products],인하공업전문대학,김재호 교수
11745,교육연구를 위한 통계방법,서울대학교,박현정
11743,정서와 행동의 심리학,서울대학교,한소원
11714,인간관계 심리학,동의대학교,송연주
11705,스피치트레이닝,동의대학교,신윤주
11683,동아시아에서의 역사 인식과 화해(The Historical Recognition and Reconciliation in East Asia),경남대학교,"이상만,조진구"
11653,서울 거버넌스 2020,서울시립대학교,이주헌
11646,여성과 정치,서울시립대학교,김민정
11642,국제이주의 이해,서울시립대학교,이병하
11634,자원봉사 교육강사 만들기,부산디지털대학교,최유미
11633,자원봉사활동 지원하기,부산디지털대학교,이은자
11632,자원봉사자 교육하기,부산디지털대학교,곽둘주
11631,발달장애인 직업재활,부산디지털대학교,송창근
11630,발달장애와 직업진로상담,부산디지털대학교,"송수진, 권량희"
11629,발달장애 자녀를 위한 상담기법,부산디지털대학교,이진영
11628,발달과 발달장애의 이해,부산디지털대학교,남현숙
11625,온라인 참여형 심리백신,부산디지털대학교,송종원
11624,발달장애인과 함께 세상속으로,부산디지털대학교,배의식
11621,"도전, 정신건강 사회복지사",부산디지털대학교,김태준
11618,사회복지사를 위한 케어 매니지먼트,부산디지털대학교,최유미
11616,자원봉사 시민교육을 말하다,부산디지털대학교,최유미
11615,4차 산업혁명,부산대학교,김기홍
11593,로컬콘텐츠 활용을 위한 해양레저관광,수원대학교,"우경진 교수, 김승준 교수, 김정헌 교수"
11592,한식! 문화로 꽃 피우다,수원대학교,"임경숙 교수, 이혜원 교수"
11591,정조의 꿈을 그리다,수원대학교,"우경진 교수, 벨라코프일리야 교수"
