id,name,org_name,professor
12401,해외 비즈니스 기초,호서대학교,김재진
12132,스마트팩토리 : IoT와 AI로 제조를 혁신하다Ⅰ,울산대학교,황규선
12114,수학으로 푸는 블록체인(Blockchain solved with mathematics),호남대학교,"백란, 임성배"
11924,AI 스마트팩토리 기초[Fundamentals of A.I Smart Factory],인하공업전문대학,이정익
11904,메타버스 & 실감콘텐츠의 이해,한성대학교,김효용
11779,생산성 높은 공장 만들기,울산과학대학교,김기범
11365,수학으로 푸는 블록체인(Blockchain solved with mathematics),호남대학교,"백란, 임성배"
11239,(수어) 히든 히어로즈 : K-물류로 글로벌 거점을 선점하라!,JTBC,
11238,(MOOC) 히든 히어로즈 : K-물류로 글로벌 거점을 선점하라!,JTBC,
10630,해외 비즈니스 기초,호서대학교,김재진
10539,우주항공입문: 우주공학,세종대학교,김오종
10538,우주항공입문: 항공공학,세종대학교,김오종
10274,AI 스마트팩토리 기초,인하공업전문대학,이정익
10023,스마트팩토리 : IoT와 AI로 제조를 혁신하다Ⅰ,울산대학교,황규선
9752,생산성 높은 공장 만들기,울산과학대학교,김기범
9735,수학으로 푸는 블록체인(Blockchain solved with mathematics),호남대학교,"백란, 임성배"
8643,4차 산업혁명 기술을 활용한 비즈니스 혁신,한국생산기술연구원,"장영재, 박상준, 이재호"
8642,고객 니즈 분석을 통한 융합 제품 개발 전략,한국생산기술연구원,한국생산기술연구원
8338,디자인씽킹을 통한 공학혁신,단국대학교,서응교
7217,생산성 높은 공장 만들기,울산과학대학교,김기범
7209,스마트팩토리,유원대학교,장현성 
5656,로보틱스,서울과학기술대학교,"김종형, 김동환, 박희재, 박 근"
5201,시계열분석 기법과 응용,포항공과대학교,전치혁
5191,예측 및 분류를 위한 데이터 애널리틱스 기법 ,포항공과대학교,전치혁 
2305,해외 비즈니스 기초,호서대학교,김재진
2304,해외 비즈니스 기초,호서대학교,김재진
2273,수학으로 푸는 블록체인(Blockchain solved with mathematics),호남대학교,"백란, 임성배"
2178,경제성 공학,한밭대학교,김태구
906,사고와 안전의 이해 : 위험 관리에 대한 전략,고려사이버대학교,"우태호, 장경배, 백창현, 김승주"
