id,name,org_name,professor
12510,생물학적 인간Ⅱ,고려대학교,나흥식
12273,에코토피아,경희대학교,여민경
12166,생물학적 인간Ⅰ,고려대학교,나흥식
12060,바이오헬스산업혁신전략,건국대학교(글로컬),김영준
12049,일반화학1,인천대학교,김형준
11916,"바이오테크놀러지, A에서 Z까지",경기대학교,이진성
11856,일반화학 개념의 핵심,조선대학교,조승주
11830,"미생물, 면역, 그리고 감염성 질병",포항공과대학교,이승우
11828,미래환경기술,포항공과대학교,"이형주, 국종성, 홍석봉, 조강우"
11822,알기 쉬운 화장품과 피부과학 이야기: 피부의 가치를 부여하는 화장품 이야기,건국대학교,배승희
11758,ESG 시대 탄소중립의 이해,성신여자대학교,조준상
11699,바다의 불편한 진실,인하대학교,김태원
11641,동물의 행동,이화여자대학교,장이권
11599,생명의 파노라마,충북대학교,성현아
11567,인간은 왜 병에 걸리는가?: 질병의 생태와 진화,이화여자대학교,최재천
11558,생물다양성과 생물자원,이화여자대학교,정종우
11525,Earth System,부산대학교,이준이
11491,(더빙) 위대한 수업3(GREAT MINDS) : 환경의 역사,EBS,존 로버트 맥닐
11470,기후변화와 지속가능발전,부산대학교,이준이
11443,초심자를 위한 유기화학,한국공학대학교,정윤성
11426,(MOOC) 위대한 수업3(GREAT MINDS) : 환경의 역사,EBS,존 로버트 맥닐
11425,(수어) 위대한 수업3(GREAT MINDS) : 환경의 역사,EBS,존 로버트 맥닐
11424,(방송) 위대한 수업3(GREAT MINDS) : 환경의 역사,EBS,존 로버트 맥닐
11410,생명의 프린키피아,부산대학교,김희수
11396,미생물학 입문,인천대학교,예정용
11360,일반화학1,인천대학교,김형준
11297,일반화학1,인천대학교,김형준
11139,"(수어) 히든 히어로즈 : 新성장동력 1,000조 물시장을 잡아라!!",JTBC,
11138,"(MOOC) 히든 히어로즈 : 新성장동력 1,000조 물시장을 잡아라!",JTBC,
11096,"(수어) 세대별 교양 : 혼자 살 수 있는 생명은 없다(차이나는 클라스, 최재천)",JTBC,최재천
11095,"(MOOC) 세대별 교양 : 혼자 살 수 있는 생명은 없다(차이나는 클라스, 최재천)",JTBC,최재천
10978,"(MOOC) 위대한 수업2(GREAT MINDS) : 다시, 오래된 미래",EBS,헬레나 호지 
10977,"(수어) 위대한 수업2(GREAT MINDS) : 다시, 오래된 미래",EBS,헬레나 호지 
10976,"(더빙) 위대한 수업2(GREAT MINDS) : 다시, 오래된 미래",EBS,헬레나 호지 
10942,(MOOC) 위대한 수업2(GREAT MINDS) : 나의 이야기,EBS,제인 구달
10941,(수어) 위대한 수업2(GREAT MINDS) : 나의 이야기,EBS,제인 구달
