id,name,org_name,professor
12258,힐링푸드와 건강,창신대학교,박혜진
12216,색채와 퍼스널컬러,대구한의대학교,"김상호, 이소영"
12215,K-뷰티 코디네이션,대구한의대학교,"김지희, 이선미"
12089,Basic Coffee Education,우송대학교,Miguel Menezes
12044,건강과 식생활,서울여자대학교,노봉수
11895,신선요리 마스터과정,한양여자대학교,이영우
11876,슬기로운 식생활 탐구,울산과학대학교,정영혜
11801,소비자와 시장,서울대학교,김난도
11706,함께하는 스마트 다이어트,인하대학교,장경자
10969,(MOOC) 위대한 수업2(GREAT MINDS) : 조향의 세계,EBS,조 말론
10968,(수어) 위대한 수업2(GREAT MINDS) : 조향의 세계,EBS,조 말론
10967,(더빙) 위대한 수업2(GREAT MINDS) : 조향의 세계,EBS,조 말론
10959,(MOOC) 위대한 수업2(GREAT MINDS) : 미식의 세계,EBS,피에르 가니에르
10958,(수어) 위대한 수업2(GREAT MINDS) : 미식의 세계,EBS,피에르 가니에르
10957,(더빙) 위대한 수업2(GREAT MINDS) : 미식의 세계,EBS,피에르 가니에르
10094,자연모사기술,과학기술연합대학원대학교,"김완두, 오상록, 임현의"
9942,건강과 식생활,서울여자대학교,노봉수
9787,슬기로운 식생활 탐구,울산과학대학교,정영혜
9777,힐링푸드와 건강,창신대학교,박혜진
9685,결혼과 가족(Marriage and Family),경남대학교,김진희
9603,Basic Coffee Education,우송대학교,Miguel Menezes
9552,스마트식생활,대구한의대학교,"박순애, 이난희, 김미림"
9549,K-뷰티 코디네이션,대구한의대학교,"김지희, 이선미"
9548,색채와 퍼스널컬러,대구한의대학교,"김상호, 이소영"
9547,맞춤형 화장품의 이해,대구한의대학교,"권애란, 이승묵, 김수야"
9546,"스킨케어, 한의학과의 만남",대구한의대학교,"황보민, 지선영, 이현종, 노종성, 김성태, 권애란"
9545,향기 치유,대구한의대학교,"박찬익, 손원주, 이승우"
9332,신선요리 마스터과정,한양여자대학교,이영우
8791,결혼과 가족(Marriage and Family),경남대학교,김진희
8155,한국복식문화사,전북대학교,김순영
8147,K-Food : 한국인의 똑똑한 밥상,전북대학교,차연수
8019,소비자와 시장,서울대학교,김난도
7941,식생활 습관과 건강,유한대학교,윤택준
7721,Basic Coffee Education,우송대학교,Miguel Menezes
7677,How to open a food & beverage business,우송대학교,Per Henrik Jonsson
7112,건강과 식생활,서울여자대학교,노봉수
7108,건강과 식생활,서울여자대학교,노봉수
5787,창의적 발상: 손에 잡히는 창의성,성균관대학교,
4862,알기쉬운영양학,배재대학교,김정현
4861,알기 쉬운 영양학,배재대학교,
4562,결혼과 가족(Marriage and Family),경남대학교,김진희
2878,21세기 체형 관리학,장안대학교,전형주
2571,신선요리 마스터과정,한양여자대학교,이영우
1425,향기 치유,대구한의대학교,"박찬익, 손원주, 이승우"
1421,"스킨케어, 한의학과의 만남",대구한의대학교,"황보민, 지선영, 이현종, 노종성, 김성태, 권애란"
1417,맞춤형 화장품의 이해,대구한의대학교,"권애란, 이승묵, 김수야"
1413,재활 스트레칭,대구한의대학교,이영익
1408,침구와 경락 피부미용,대구한의대학교,"이봉효, 김진희"
1403,본초학과 한방팩,대구한의대학교,"박지하, 김진희"
1398,자연을 닮은 피부와 건강,대구한의대학교,"권애란, 김진희, 김완일, 이승묵, 황보민"
1393,피부미용과 K-뷰티,대구한의대학교,"권애란, 김수야, 이승묵, 황보민"
1388,색채와 퍼스널컬러,대구한의대학교,"김상호, 이소영"
1386,K-뷰티 코디네이션,대구한의대학교,"김지희, 이선미"
1380,스마트식생활,대구한의대학교,"박순애, 이난희, 김미림"
934,왜 음식윤리인가 : 문제 해결의 열쇠,가톨릭대학교,김석신
855,힐링푸드와 건강,창신대학교,박혜진
