id,name,org_name,professor
11946,수학 초보자를 위한 눈으로 보는 수학,동서대학교,이민아
11943,찾아서 보는 수학,동서대학교,이민아
11935,빅데이터시각화 R,대구대학교,윤상후
11884,공대생을 위한 기초 물리학,충남대학교,김정일
11823,해밀톤 역학: 지렛대에서 양자역학의 초입까지,포항공과대학교,박용운
11751,데이터로 배우는 통계학,서울대학교,장원철
11744,불확실성을 다루는 수학,서울대학교,서인석
11741,서울대 소장품 감상하기: 천문학을 중심으로,서울대학교,황호성
11664,현대인을 위한 물리의 이해,인하대학교,차동우
11656,양자컴퓨팅의 기초와 응용,서울시립대학교,안도열
11651,인공지능 만들기 : 기계학습 방법론의 이해,서울시립대학교,전종준
11606,우주로의 여행,충북대학교,김용기
11605,한국 지형 여행,충북대학교,김종연
11601,한국 지오파크의 지형,충북대학교,김종연
11545,AI 연구자를 위한 통계적 학습론,부산대학교,김충락
11510,수학적 사고로 보는 세상,광운대학교,최종성
11457,한국의 자연지리,성신여자대학교,박경
11448,생활 속의 통계학,한림대학교,이기원
11444,기하광학,한국공학대학교,민경택
11291,(MOOC) 위대한 수업3(GREAT MINDS) : 과학의 풍경,EBS,프랭크 윌첵
11290,(수어) 위대한 수업3(GREAT MINDS) : 과학의 풍경,EBS,프랭크 윌첵
11289,(더빙) 위대한 수업3(GREAT MINDS) : 과학의 풍경,EBS,프랭크 윌첵
11288,(방송) 위대한 수업3(GREAT MINDS) : 과학의 풍경,EBS,프랭크 윌첵
11171,(MOOC) 위대한 수업3(GREAT MINDS) : 모두를 위한 수학,EBS,테렌스 타오
11170,(수어) 위대한 수업3(GREAT MINDS) : 모두를 위한 수학,EBS,테렌스 타오
11169,(더빙) 위대한 수업3(GREAT MINDS) : 모두를 위한 수학,EBS,테렌스 타오
11168,(방송) 위대한 수업3(GREAT MINDS) : 모두를 위한 수학,EBS,테렌스 타오
10887,(방송) 위대한 수업1(GREAT MINDS) : 원더풀 수학,EBS,이언 스튜어트
10886,(MOOC) 위대한 수업1(GREAT MINDS) : 원더풀 수학,EBS,이언 스튜어트
10885,(수어) 위대한 수업1(GREAT MINDS) : 원더풀 수학,EBS,이언 스튜어트
10884,(더빙) 위대한 수업1(GREAT MINDS) : 원더풀 수학,EBS,이언 스튜어트
10839,(방송) 위대한 수업1(GREAT MINDS) : 천문학자의 시간,EBS,브라이언 슈미트
10826,(MOOC) 위대한 수업1(GREAT MINDS) : 천문학자의 시간,EBS,브라이언 슈미트
10823,(수어) 위대한 수업1(GREAT MINDS) : 천문학자의 시간,EBS,브라이언 슈미트
10818,(더빙) 위대한 수업1(GREAT MINDS) : 천문학자의 시간,EBS,브라이언 슈미트
10746,(MOOC) 위대한 수업1(GREAT MINDS) : 여분 차원과 암흑 물질,EBS,리사랜들
10745,(수어) 위대한 수업1(GREAT MINDS) : 여분 차원과 암흑 물질,EBS,리사랜들
10744,(더빙) 위대한 수업1(GREAT MINDS) : 여분 차원과 암흑 물질,EBS,리사랜들
10127,수학 초보자를 위한 눈으로 보는 수학,동서대학교,이민아
10095,천문학이야기,과학기술연합대학원대학교,"이상성, 권우진, 김상철, 송용선"
9962,양자물리와 양자컴퓨팅 기초,포항공과대학교,윤건수
9949,해밀톤 역학: 지렛대에서 양자역학의 초입까지,포항공과대학교,박용운
9852,수학적 사고로 보는 세상,광운대학교,최종성
9846,찾아서 보는 수학,동서대학교,이민아
9663,4차 산업혁명과 수학,충남대학교,"안재현, 이윤희, 신동수"
9630,공대생을 위한 기초 물리학,충남대학교,김정일
