id,name,org_name,professor
12612,현대사회에 필요한 건강과 약 이야기,중앙대학교,정병욱
12021,생활과 건강,우석대학교,김효정
11948,4차 산업시대 미래 질병과 신약개발,동아대학교,조종현
11882,인공지능 활용 바이오 기술 플랫폼,충남대학교,"윤휘열, 정상근"
11570,크리스퍼 유전자 조작이 바꿀 우리의 미래,이화여자대학교,이기현
11389,(수어) 히든 히어로즈 : 인류를 구원할 꿈의 치료제! K-마이크로바이옴,JTBC,
11388,(MOOC) 히든 히어로즈 : 인류를 구원할 꿈의 치료제! K-마이크로바이옴,JTBC,
10608,[수강이벤트] 크리스퍼 유전자 조작이 바꿀 우리의 미래,이화여자대학교,이기현
10602,생물정보학과 신약개발,전남대학교,최윤주
9842,생활과 건강,우석대학교,김효정
9626,인공지능 활용 바이오 기술 플랫폼,충남대학교,"윤휘열, 정상근"
7642,생활과 건강,우석대학교,김효정
5636,생활 속의 약과 건강,세명대학교,고성권
3154,생물정보학과 신약개발,전남대학교,최윤주
3153,생물정보학과 신약개발,전남대학교,최윤주
840,인공지능 활용 바이오 기술 플랫폼,충남대학교,"윤휘열, 정상근"
