id,name,org_name,professor
12614,과학기술과 문화의 이해,중앙대학교,최현철
12568,세계로 통하는 한국어 : 중급Ⅰ,성균관대학교,"김경훤, 이수미, 박혜경, 신필여"
12567,세계로 통하는 한국어 : 초급Ⅱ,성균관대학교,"김경훤, 현원숙, 유하라, 홍은실"
12566,세계로 통하는 한국어 : 초급Ⅰ,성균관대학교,"김경훤, 현원숙, 유하라, 홍은실"
12532,메타버스 스토리텔링,고려대학교,김은정
12531,[고급] 한국의 문자 발명가와 표기의 역사,고려대학교 한국언어문화학술확산연구소,장경준
12530,[중급] 한국어교육을 위한 한국어와 영어의 대조 분석,고려대학교 한국언어문화학술확산연구소,장미경
12529,[고급] 영화로 한시 읽기 : 시인과 이미지,고려대학교 한국언어문화학술확산연구소,임준철
12528,[고급] 한국의 현대 페미니즘 여성 시인들,고려대학교 한국언어문화학술확산연구소,오형엽
12527,[고급] 한국 여배우 열전,고려대학교 한국언어문화학술확산연구소,김남석
12526,[중급] 한국 근현대문학 작가 열전(列傳),고려대학교 한국언어문화학술확산연구소,"김종훈, 이민영, 권보드래, 최호빈, 정재림, 김동희, 강은진, 김남규, 오연경, 양윤의"
12525,[중급] 조선의 서화가,고려대학교 한국언어문화학술확산연구소,류승민
12524,[중급] 한국의 근대 문법가들,고려대학교 한국언어문화학술확산연구소,이영제
12523,[초급] 조선의 문장가 열전,고려대학교 한국언어문화학술확산연구소,송혁기
12522,[중급] 판소리 명인ㆍ명창,고려대학교 한국언어문화학술확산연구소,송미경
12521,[고급] 한국한시기행,고려대학교 한국언어문화학술확산연구소,"노요한, 정용건, 김기엽, 오보라, 이남면"
12520,[고급] 한국어의 역사,고려대학교 한국언어문화학술확산연구소,"허인영, 장경준"
12519,[초급] 한국어교육을 위한 한국어와 중국어 대조 분석,고려대학교 한국언어문화학술확산연구소,"장미정, 진환상"
12518,[초급] 한국어의 방언,고려대학교 한국언어문화학술확산연구소,"손다정, 이영제, 신우봉, 손혜진"
