id,name,org_name,professor
12626,드론 3D맵핑 모델링 방법,인천재능대학교(매치업),안익균
12625,드론 군집비행 이론 및 운용,인천재능대학교(매치업),김세욱
12624,드론 특수촬영 기술,인천재능대학교(매치업),양권석
12623,드론 회로 설계,인천재능대학교(매치업),김우현
12605,역사를 뒤흔든 과학,조선대학교,"손정선, 이영란"
12026,의학 교육을 위한 VR,인천가톨릭대학교,"김용경, 김종민, 윤관현, 송민찬"
12019,임상 활용을 위한 AR,인천가톨릭대학교,"김영덕, 김종민, 윤관현, 송민찬"
12008,의료메타버스 구현을 위한 Modeling,인천가톨릭대학교,"양선형, 김종민, 윤관현, 송민찬"
12003,의료영상분할(Segmentation) 소프트웨어의 이해,인천가톨릭대학교,"이지우, 김종민, 윤관현, 송민찬"
11934,다양한 드론 촬영 기법 및 편집,동서울대학교,김준호
11933,드론 영상기획과 기본촬영 및 편집,동서울대학교,"김준호,장승익"
11932,드론운용 및 실습,동서울대학교,"김병재,권준범"
11931,항공법규와 역학,동서울대학교,"권준범,박세선"
11778,DT시대 온택트 교육학개론,건양사이버대학교,최동연
11687,생체데이터와 인공지능의 이해,광운대학교(매치업),박철수
11686,의료데이터 이해,광운대학교(매치업),이석준
11685,IoT 헬스케어 서비스 및 제품의 이해,광운대학교(매치업),이재선
11684,디지털 헬스케어 산업의 이해,광운대학교(매치업),이석준
11650,소재가 빚어내는 문명의 화음,서울시립대학교,홍완식
11370,큐레이션 플랫폼(초급),한국외국어대학교,박정원
11369,태블로 데이터 시각화(초급),한국외국어대학교,박정원
11368,워드프레스 웹퍼블리싱(초급),한국외국어대학교,박정원
11367,텍스트 데이터 시각화(초급),한국외국어대학교,박정원
11244,드론 3D 맵핑 모델링 촬영 실습,인천재능대학교(매치업),안익균
11243,드론 군집 비행 쇼 프로그래밍 실습,인천재능대학교(매치업),한희옥
11242,드론 특수촬영 활용,인천재능대학교(매치업),양권석
11241,드론 PCB 설계,인천재능대학교(매치업),김우현
10865,"(수어) 히든 히어로즈 : AI, 글로벌 골드러시를 잡아라!",JTBC,JTBC 히든히어로즈
10864,"(MOOC) 히든 히어로즈 : AI, 글로벌 골드러시를 잡아라!",JTBC,JTBC 히든히어로즈
10859,"(MOOC) 히든 히어로즈 : K-자율주행차! 2,304조 시장을 선점하다!",JTBC,JTBC 히든히어로즈
10854,"(수어) 히든 히어로즈 : K-자율주행차! 2,304조 시장을 선점하다!",JTBC,JTBC 히든히어로즈
10687,드론 3D맵핑 모델링 방법,인천재능대학교(매치업),안익균
10686,드론 군집비행 이론 및 운용,인천재능대학교(매치업),김세욱
10685,드론 특수촬영 기술,인천재능대학교(매치업),양권석
10646,드론 회로 설계,인천재능대학교(매치업),김우현
10534,큐레이션 플랫폼(초급),한국외국어대학교,박정원
10533,태블로 데이터 시각화(초급),한국외국어대학교,박정원
10532,워드프레스 웹퍼블리싱(초급),한국외국어대학교,박정원
10531,텍스트 데이터 시각화(초급),한국외국어대학교,박정원
10405,디지털 헬스케어 인공지능 분석 실무,광운대학교(매치업),박철수
10404,의료빅데이터 분석 및 활용 실무,광운대학교(매치업),이석준
10403,IoT 헬스케어 서비스 제품 개발 실무,광운대학교(매치업),김양래
10402,디지털 서비스 프로젝트 관리 실무,광운대학교(매치업),이석준
10375,역사를 뒤흔든 과학,조선대학교,"손정선, 이영란"
10148,마케팅 및 홍보를 위한 메타버스 전략,한국원격대학협의회 AI융합교육원,"석광호, 전병현"
10147,문화예술과 컨퍼런스를 위한 메타버스 구현,한국원격대학협의회 AI융합교육원,"나홍석, 김춘희"
10146,온·오프라인 교육을 위한 메타버스 구현,한국원격대학협의회 AI융합교육원,"박형용, 이성태, 노윤홍"
10145,메타버스와 미래사회,한국원격대학협의회 AI융합교육원,"이성태, 노윤홍"
9857,디자인 씽킹을 넘어 가치 디자인으로,포항공과대학교,김진택
9854,Design Thinking : 문제의 발견과 해결,포항공과대학교,김진택
9678,텍스트 데이터 시각화(초급),한국외국어대학교,박정원
9677,워드프레스 웹퍼블리싱(초급),한국외국어대학교,박정원
9676,태블로 데이터 시각화(초급),한국외국어대학교,박정원
9675,큐레이션 플랫폼(초급),한국외국어대학교,박정원
9647,DT시대 온택트 교육학개론,건양사이버대학교,최동연
5569,예술가와 디자이너를 위한 아트 코딩,세종대학교,김혜란
5566,[집콕]예술가와 디자이너를 위한 아트 코딩,세종대학교,김혜란
5131,디자인 씽킹을 넘어 가치 디자인으로,포항공과대학교,김진택
5130,디자인 씽킹을 넘어 가치 디자인으로,포항공과대학교,김진택
5127,Design Thinking : 문제의 발견과 해결,포항공과대학교,김진택
5126,Design Thinking : 문제의 발견과 해결,포항공과대학교,김진택
4521,DT시대 온택트 교육학개론,건양사이버대학교,최동연
2407,큐레이션 플랫폼(초급),한국외국어대학교,박정원
2406,태블로 데이터 시각화(초급),한국외국어대학교,박정원
2405,워드프레스 웹퍼블리싱(초급),한국외국어대학교,박정원
2404,텍스트 데이터 시각화(초급),한국외국어대학교,박정원
