id,name,org_name,professor
12431,클래식 친구 만들기,서울사이버대학교,윤소영
12394,문화속의 과학기술과 음악,호서대학교,이은영
11649,내 삶에 영향을 주는 음악 수업,서울시립대학교,전기홍
11546,그림으로 듣는 한국 음악,대전대학교,조석연
11127,"(수어) 차이나는 K-클라스 : 세상 어디에도 없는 종합예술, 판소리(이자람)",JTBC,이자람
11126,"(MOOC) 차이나는 K-클라스 : 세상 어디에도 없는 종합예술, 판소리(이자람)",JTBC,이자람
11125,"(수어) 차이나는 K-클라스 : 세상 '힙'한 요즘 노래, K-민요(이희문)",JTBC,이희문
11124,"(MOOC) 차이나는 K-클라스 : 세상 '힙'한 요즘 노래, K-민요(이희문)",JTBC,이희문
10891,(방송) 위대한 수업1(GREAT MINDS) : 거장의 클래식,EBS,다니엘 바렌보임
10890,(MOOC) 위대한 수업1(GREAT MINDS) : 거장의 클래식,EBS,다니엘 바렌보임
10889,(수어) 위대한 수업1(GREAT MINDS) : 거장의 클래식,EBS,다니엘 바렌보임
10888,(더빙) 위대한 수업1(GREAT MINDS) : 거장의 클래식,EBS,다니엘 바렌보임
10825,"(수어) 차이나는 K-클라스 : K-POP, 대체 불가 장르가 되다(김영대)",JTBC,김영대
10824,"(MOOC) 차이나는 K-클라스 : K-POP, 대체 불가 장르가 되다(김영대)",JTBC,김영대
10514,인문학 속의 클래식음악(쏙 클래식!),전주대학교,이주용
10152,문화속의 과학기술과 음악,호서대학교,이은영
10121,클래식 친구 만들기,서울사이버대학교,윤소영
9790,그림으로 듣는 한국 음악,대전대학교,조석연
9785,재즈 연주개념을 통한 음악의 이해,목원대학교,정재열
9268,테너 이현의 오페라 사랑방,영남대학교,이현
9023,"올댓song, 노래 is",상명대학교,정의근
8143,판소리Ⅱ: 소리길 순례,전북대학교,정회천
8139,판소리Ⅰ: 자연을 노래한 한국의 소리,전북대학교,정회천
5448,클래식 친구 만들기,서울사이버대학교,윤소영
2320,쉽게 듣는 실용음악 - 어서와 실용음악은 처음이지? -,호원대학교, 정수욱
1455,그림으로 듣는 한국 음악,대전대학교,조석연
