id,name,org_name,professor
12404,예술계열 캡스톤 디자인 설계,호서대학교,박성원
12393,3D콘텐츠 제작기초(메타버스 공간 제작),남서울대학교,서동희
12083,헤어디자인 실무,서원대학교,김경인
12080,성공적인 이미지 메이킹,서원대학교,김의형
12073,콘텐츠산업의 비즈니스 전략,세종대학교,한창완
12071,인공지능 콘텐츠 아트 프로듀싱,세종대학교,한창완
11938,한국 속의 음식 문화 여행,전주대학교,이대희
11845,웹툰 배경 제작 클래스,경일대학교,이상훈
11844,웹소설클래스,경일대학교,임풍훈
11843,웹툰 클래스,경일대학교,"원현재, 정은숙"
11565,음악과 과학/기술,이화여자대학교,여운승
11464,패션 스튜디오,성신여자대학교,염미선
11409,융합예술과 문화공간 기획,세종대학교,김보름
11304,우리 문화의 정체성과 문화산업,세종대학교,김종덕
11135,(수어) 차이나는 K-클라스 : 디지털로 부활하는 K-문화유산(박진호),JTBC,박진호
11133,(MOOC) 차이나는 K-클라스 : 디지털로 부활하는 K-문화유산(박진호),JTBC,박진호
11085,3D콘텐츠 제작기초(메타버스 공간 제작),남서울대학교,서동희
10950,(MOOC) 위대한 수업2(GREAT MINDS) : 한 컷의 세계,EBS,스티브 맥커리
10949,(수어) 위대한 수업2(GREAT MINDS) : 한 컷의 세계,EBS,스티브 맥커리
10948,(더빙) 위대한 수업2(GREAT MINDS) : 한 컷의 세계,EBS,스티브 맥커리
10822,"(수어) 차이나는 K-클라스 : 현대적 멋을 입힌 전통 공연, 세계를 홀리다(정구호)",JTBC,정구호
10820,"(MOOC) 차이나는 K-클라스 : 현대적 멋을 입힌 전통 공연, 세계를 홀리다(정구호)",JTBC,정구호
10695,"(수어) 세대별 교양 : 당신의 상상이 살아움직인다면(차이나는 클라스, 에릭오편)",JTBC,에릭오
10663,"(MOOC) 세대별 교양 : 당신의 상상이 살아움직인다면(차이나는 클라스, 에릭오편)",JTBC,에릭오
10633,예술계열 캡스톤 디자인 설계,호서대학교,박성원
10601,아트앤테크 융합예술의 이해,전남대학교,변현진
10390,웹툰 클래스,경일대학교,"원현재, 정은숙"
10389,웹툰 배경 제작 클래스,경일대학교,이상훈
10386,웹소설클래스,경일대학교,임풍훈
10181,3D콘텐츠 제작기초(메타버스 공간 제작),남서울대학교,서동희
9979,인공지능 콘텐츠 아트 프로듀싱,세종대학교,한창완
9978,콘텐츠산업의 비즈니스 전략,세종대학교,한창완
9757,한국 속의 음식 문화 여행,전주대학교,이대희
9746,K-FOOD코디네이션(테이블코디네이션+푸드스타일링),전주대학교,김수인
9375,음악과 과학/기술,이화여자대학교,여운승
9318,웹툰 연출의 이해,세종대학교,이순기
9317,융합예술과 문화공간 기획,세종대학교,김보름
8920,"VFX, 애니메이션 모델링 기초",세종대학교,강윤극
8909,모빌리티 디자인 방법론,세종대학교,김진성
8050,패션 스튜디오,성신여자대학교,염미선
8012,3D콘텐츠 제작기초(메타버스 공간 제작),남서울대학교,서동희
7684,K-뷰티 메이크업,우송대학교,김혜균
6906,패션 스튜디오,성신여자대학교,염미선
5594,웹툰 연출의 이해,세종대학교,이순기
5592,우리 문화의 정체성과 문화산업,세종대학교,김종덕
5585,인공지능 콘텐츠 아트 프로듀싱,세종대학교,한창완
5581,융합예술과 문화공간 기획,세종대학교,김보름
5574,코딩으로 창작하기 (마이크로강좌),세종대학교,김혜란
5570,우리는 왜 BTS를 공부해야 할까? (마이크로강좌),세종대학교,이지영
5564,미디어 빅뱅 시대의 예술-BTS를 중심으로-,세종대학교,이지영
5561,[집콕]미디어 빅뱅 시대의 예술-BTS를 중심으로-,세종대학교,이지영
5537,콘텐츠산업의 비즈니스 전략,세종대학교,한창완
5366,빨주노초파남보 나의 삶 속의 색,서울사이버대학교,"이향아, 김용숙, 윤지현"
4853,3D콘텐츠 제작기초(메타버스 공간 제작),남서울대학교,서동희
4852,3D콘텐츠 제작기초(메타버스 공간 제작),남서울대학교,서동희
3882,아트플레이: 이미지로 생각하다,건국대학교,
3156,아트앤테크 융합예술의 이해,전남대학교,변현진
3155,아트앤테크 융합예술의 이해,전남대학교,변현진
3061,한국 속의 음식 문화 여행,전주대학교,이대희
3057,K-FOOD코디네이션(테이블코디네이션+푸드스타일링),전주대학교,김수인
2311,예술계열 캡스톤 디자인 설계,호서대학교,박성원
2310,예술계열 캡스톤 디자인 설계,호서대학교,박성원
2020,디지털 사진의 이해와 활용,이화여자대학교,이필두
2019,[집콕]디지털 사진의 이해와 활용,이화여자대학교,이필두
1975,음악과 과학/기술,이화여자대학교,여운승
1431,실용아트 메이크업,대구한의대학교,김경옥
373,사진 이후의 사진,중앙대학교,천경우
