id,name,org_name,professor
12443,해외긴급구호 의료팀 교육,한국국제보건의료재단,"이승준, 김재윤, 주성홍, 홍지선, 김연재, 조아람, 김주자, 심재철, 안지원, 이경신"
12366,인류와 감염병 이야기,고려대학교,김우주
12282,NO비만 NO질병! NOBINO 다이어트,경희대학교,이재동
12154,디지털 시대와 정신건강,울산대학교,김성윤
12152,인공지능 시대의 정신건강,울산대학교,김성윤
11986,의사가 알려주는 우리 몸의 진짜 이야기,동아대학교,정나영
11982,의료정보: 표준/보안/인증,한국연구재단 산업교육센터,김종덕
11979,바이오헬스 인체의 신비,한국연구재단 산업교육센터,박종태
11831,보이지 않는 미생물 세계,건국대학교,"이상원, 박승용"
11747,감염병 대응 음압병실 체험하기,서울대학교,강자현
11716,인류와 감염병 이야기,고려대학교,김우주
11698,생활 속 피부질환 이야기,인하대학교,변지원
11697,금연과 건강한 삶,인하대학교,"손민, 이훈재, 서민희"
11694,의학으로 배우는 삶의 지혜,동의대학교,이정원
11626,건강보험 보장성강화 제대로 알기,부산디지털대학교,하오현
11522,건강생활 지침서: 비만에 대한 모든 것 2,부산대학교,이상엽
11520,건강생활 지침서: 비만에 대한 모든 것 1,부산대학교,이상엽
11310,정보의학개론,한국보건복지인재원,"이재호, 이유라, 김종엽, 오지선, 이수현, 이지성, 임영석, 이현나, 김덕훈, 신수용, 유소영"
11309,임상정보학,한국보건복지인재원,"이재호, 오지선, 윤덕용, 강단비, 조인숙, 차원철, 이유라, 박유랑, 이재호, 박태준, 반상우, 강민정, 김규표, 유소영"
11308,의료 인공지능 개론 ,한국보건복지인재원,"서준범, 고태훈, 박성진, 이준구, 윤지혜, 고현정, 김윤전, 김도훈, 정종우, 정철우, 박유랑, 양현림, 황도식, 이형철, 김남국, 정상태, 신채민, 최병욱, 윤형진, 박성호"
11307,보건의료데이터 활용 이해 ,한국보건복지인재원,"이은주, 이승현, 김희정, 조성래, 조규동, 이성우, 유승찬, 류광선"
11306,소비자 건강정보 도구와 모바일헬스 ,한국보건복지인재원,"이재호,이지산,김정은,양광모,이종원"
11261,정보의학개론,한국보건복지인재원,"이재호, 이유라, 김종엽, 오지선, 이수현, 이지성, 임영석, 이현나, 김덕훈, 신수용, 유소영"
11210,"마음건강 관리하기 ""마음도 몸처럼 보살펴 주세요""",조선대학교,김현례
11111,재생의학 적용사례,전남대학교,안영근
11110,재생의학 입문,전남대학교,김형석
11088,"(수어) 세대별 교양 : 부모는 아이의 우주다(차이나는 클라스, 오은영)",JTBC,오은영
11087,"(MOOC) 세대별 교양 : 부모는 아이의 우주다(차이나는 클라스, 오은영)",JTBC,오은영
11050,(방송) 위대한 수업2(GREAT MINDS) : 정신건강 특집 ＜트라우마＞,EBS,베셀 반 데어 콜크
11049,(MOOC) 위대한 수업2(GREAT MINDS) : 정신건강 특집 ＜트라우마＞,EBS,베셀 반 데어 콜크
11048,(수어) 위대한 수업2(GREAT MINDS) : 정신건강 특집 ＜트라우마＞,EBS,베셀 반 데어 콜크
11047,(더빙) 위대한 수업2(GREAT MINDS) : 정신건강 특집 ＜트라우마＞,EBS,베셀 반 데어 콜크
11046,(방송) 위대한 수업2(GREAT MINDS) : 정신건강 특집 ＜성격장애＞,EBS,피터 포나기
11045,(MOOC) 위대한 수업2(GREAT MINDS) : 정신건강 특집 ＜성격장애＞,EBS,피터 포나기
11044,(수어) 위대한 수업2(GREAT MINDS) : 정신건강 특집 ＜성격장애＞,EBS,피터 포나기
11043,(더빙) 위대한 수업2(GREAT MINDS) : 정신건강 특집 ＜성격장애＞,EBS,피터 포나기
