id,name,org_name,professor
12607,디지털 스토리텔링과 게임,한국연구재단 산업교육센터,홍진호
12604,디지털과 언어,조선대학교,양미애
12434,애니메이션과 일본지역 브랜딩,중원대학교,민승희
12428,맹자와 현대사회,서울대학교,이강재
12421,근세 동아시아 사회와 그리스도교,연세대학교(미래) 글로벌한국학연구소,신주현
12420,세계화와 근현대 한국의 대중문화,연세대학교(미래) 글로벌한국학연구소,이화진
12419,현장에서 바라본 제국의 시대,연세대학교(미래) 글로벌한국학연구소,권기하
12418,세계 냉전체제의 형성과 두 개의 '코리아',연세대학교(미래) 글로벌한국학연구소,이세영
12416,한국사 속의 경계인과 외부인 : 한국인과 서양인의 만남,연세대학교(미래) 글로벌한국학연구소,오상미
12415,질병과 의료로 보는 동아시아사,연세대학교(미래) 글로벌한국학연구소,신규환
12414,동아시아와 한반도의 농업사,연세대학교(미래) 글로벌한국학연구소,미야지마 히로시
12413,동아시아 지식 네트워크 속의 유학과 불교,연세대학교(미래) 글로벌한국학연구소,허준
12412,글로벌한국사입문 : 한국과 동아시아,연세대학교(미래) 글로벌한국학연구소,백영서
12392,팬데믹시대 자기치유,남서울대학교,김민경
12388,한국사의 디아스포라,고려대학교 한국사연구소,"윤상원, 이동훈, 임형수, 정순일, 이영호, 김주용, 배진숙, 나혜심, 구영은"
12386,한국을 변화시킨 사상,고려대학교 한국사연구소,"박윤진, 이욱, 류시현"
12385,한류와 한국사,고려대학교 한국사연구소,"홍용진, 윤은자, 오지혜, 박진, 김난옥, 이민주"
12384,한국사의 수도,고려대학교 한국사연구소,"윤성호, 김창현, 박은숙"
12380,경제발전과 민주화,고려대학교 한국사연구소,정태헌
12377,민란에서 촛불까지,고려대학교 한국사연구소,"권내현, 심재우, 김헌주, 조형열"
12376,한국인의 정체성,고려대학교 한국사연구소,"박대재, 이정철"
12374,한중관계로 읽는 한국사,고려대학교 한국사연구소,"소현숙, 정일교, 고명수, 홍성구, 이동욱, 손성욱, 손염홍, 이정남"
12373,주제로 본 한국사,고려대학교 한국사연구소,"Leighanne Kimberly Yuh, HENRY H. EM"
12372,한국사 입문,고려대학교 한국사연구소,"정호섭, 이진한, 강제훈, 송양섭, 유바다, 허은"
12370,고려 조선의 불교 인물,동국대학교 K학술확산연구소,강호선
12369,삼국 통일신라의 불교인물 ,동국대학교 K학술확산연구소,고영섭
12368,한국의 산사와 서원,동국대학교 K학술확산연구소,"정병삼, 정재훈"
12367,교단과 종파,동국대학교 K학술확산연구소,"박광연, 이자랑, 조기룡, 이승윤, 손성필"
12365,문자와 한글,동국대학교 K학술확산연구소,"김종진, 황선엽, 정우영, 김승호"
12364,불교 의례,동국대학교 K학술확산연구소,김성순
12362,국가권력과 불교,동국대학교 K학술확산연구소,김용태
12361,출판과 불교,동국대학교 K학술확산연구소,"이종수, 남권희, 박용진, 송일기, 손성필, 김종진 "
12360,한국불교 금석문,동국대학교 K학술확산연구소,최연식
12356,대한민국의 시작 '대한민국 임시정부',독립기념관,한시준 외
12355,독립군의 요람 '신흥무관학교',독립기념관,이명화 외 
12342,한국서사와 컬처매핑,경희대학교 K-컬처·스토리콘텐츠연구소,김세익
12341,K-pop 노랫말과 사회적 담론,경희대학교 K-컬처·스토리콘텐츠연구소,김태룡
12340,한국어 속의 문화 탐색,경희대학교 K-컬처·스토리콘텐츠연구소,김중섭
12338,한국의 문화원형,경희대학교 K-컬처·스토리콘텐츠연구소,이정재
12334,한국문화의 토대와 가치,경희대학교 K-컬처·스토리콘텐츠연구소,장문석
12333,키워드로 읽는 대중문화사,경희대학교 K-컬처·스토리콘텐츠연구소,안숭범
12302,한국인의 음식과 일상,서울대학교 한국경제와 K학술확산연구센터,오창현
12266,4차산업혁명의 인공지능과 철학,명지대학교,김준성
12265,4차 산업혁명의 과학에 대한 철학의 프리즘,명지대학교,김준성
12254,생활 속 로봇 이야기,한국연구재단 산업교육센터,"김지영, 송지성, 정성모, 신규식"
12253,설득을 위한 언어,아주대학교,박만규
12225,바다 위의 삶,한국해양대학교,최진철
12223,해양과 문화,한국해양대학교,김태만
12212,K-뷰티 마케팅,대구한의대학교,"강현재, 이선미, 손원주, 이수연"
12202,생활과 문화를 통해 한국사 새롭게 이해하기,고려대학교,송규진
12201,과학문화 명작세미나,고려대학교,김지연
12200,민주 시민의식을 위한 동양 고전의 프리즘,고려대학교,신창호
12185,사이보그 인문학,고려대학교,이영의
12184,아시아사 개척자들의 역사 이야기 + @,고려대학교,조영헌
12183,출근길 사이보그 인문학(마이크로강좌),고려대학교,이영의
12171,독립군의 요람 '신흥무관학교',독립기념관,이명화 외 
12170,대한민국의 시작 '대한민국 임시정부',독립기념관,한시준 외
12159,독서경영: 독서와 가치있는 삶,전남대학교,장우권
12144,K-컬처 :  한복이야기(품목별로 알아보는 한복의 미),서울디지털대학교,권혜진
12137,한국의 불교 신앙,동국대학교 K학술확산연구소,옥나영
12136,불교건축: 역사와 공간 이야기,동국대학교 K학술확산연구소,도윤수
12126,논문작성 가이드,성균관대학교,박준현
12081,와인 미학,서원대학교,이원옥
12068,바이오헬스 빅데이터 마이닝,건국대학교(글로컬),노영희
12063,AI시대의 휴먼리터러시,건국대학교(글로컬),고경민
12052,K-문화와 글로벌휴머니즘,영남대학교,신지숙
12045,한국 생활사,서울여자대학교,정연식
12039,East Asian Buddhist Culture,동국대학교 K학술확산연구소,허남린
12038,Buddhist Magic and Healing in Korea,동국대학교 K학술확산연구소,김수정
12037,한국사찰의 일상과 규범,동국대학교 K학술확산연구소,이자랑
12036,인물로 보는 근현대 한국불교,동국대학교 K학술확산연구소,지혜경
12035,한국불교 속 여성의 재발견,동국대학교 K학술확산연구소,조은수
12034,중국불교ㆍ한국불교의 관계,동국대학교 K학술확산연구소,김영진
12023,생활속의 철학,우석대학교,양성만
12020,꼬리에 꼬리를 무는 역사1,우석대학교,조법종
12006,생물주권이야기 ,영남대학교,"박선주, 석호영, 이용호"
11997,아픈 영혼을 철학으로 치유하기 ,서강대학교,"박병준, 홍경자"
11984,삶을 버티게 하는 가치들,동아대학교,이국환
11981,화엄의 나라,동국대학교 K학술확산연구소,박보람
11980,고전과 현실경영,동아대학교,김용운
11967,K-Culture와 한국사상,인천대학교,"김윤경, 이선경"
11966,교과서에서 만나지 못한 조선의 역사,인천대학교,"김평원, 신유아"
11959,"매혹적인 역사스토리, 유배인의 사생활",제주대학교,양진건
11913,인간과 컴퓨터의 상호작용,경기대학교,이국희
11906,대학생을 위한 정보 리터러시 레벨업,한성대학교,박지영
11900,아동상담: 놀이와 예술을 통한 어린이 마음치료 - 놀이･예술 기반의 아동상담 기법과 활용,백석대학교,"김세영, 오종은"
11897,아동상담: 놀이와 예술을 통한 어린이 마음치료 - 아동의 증상에 따른 놀이･예술 기반 상담의 실제,백석대학교,"김세영, 오종은"
11881,유네스코 세계문화유산 탐방,충남대학교,유용욱
11879,"양명학, 돌봄과 공생의 길",충남대학교,김세정
11865,꿈 성취의 비밀 라이프 로드맵(Life Roadmap; The Secret of Achieving My Dream),조선대학교,류시천
11857,[삼자경三字經] 인문학  -세 글자로 읽는 중국문화-,조선대학교,한예원
11841,차이나 허스토리,조선대학교,이영란
11839,역사와 자연 생태로 알아보는 독도이야기,영남대학교,"김영수, 박선주, 박지영, 송휘영, 이용호, 이태우"
11821,"한국근대사, 감춰진 이야기",조선대학교,박진철
11809,프로메테우스의 불; 과학과 전쟁(Fire of Prometheus; Science and War),경남대학교,엄홍섭
11792,종교 상징의 이해,서울대학교,유요한
11787,철학과 인공지능,서울대학교,강진호
11786,심리학과 인공지능,서울대학교,한소원
11781,과학으로 밝히는 문화유산의 비밀,한국전통문화대학교,정광용
11780,"소중한 문화유산을 되살리는 힘, 보존과학",한국전통문화대학교,정광용
11755,언어학과 인공지능,서울대학교,정민화
11746,현대철학사조: 현대철학의 거장들,서울대학교,박찬국
11739,서울대 소장품 감상하기: 문화재를 중심으로,서울대학교,김소라 학예사
11730,한국 사상과 문화유산,경희대학교 K-컬처·스토리콘텐츠연구소,김태우
11727,언어로 본 한국인의 문화유전자,경희대학교 K-컬처·스토리콘텐츠연구소,조현용
11726,스토리콘텐츠와 스타시스템,경희대학교 K-컬처·스토리콘텐츠연구소,임대근
