id,name,org_name,professor
12460,공기조화기술 (HVAC) 기초,고려사이버대학교,"백창현, 봉재환"
12459,사물인터넷(IoT)과 제어기술,고려사이버대학교,"장경배, 한병준"
12458,인공지능(AI)과 냉동공조,고려사이버대학교,이동찬
12457,스마트 에너지 이론,고려사이버대학교,"우태호, 전종욱"
12426,IT제품 속의 반도체 활용과 관련 기술,서울대학교,이혁재
12204,"반도쳇GPT:""G""eo""P""olitics &""T""echnology",고려대학교,신창환
12178,사물인터넷(Internet of Things),고려대학교,이상현
12174,ICBM+AI 개론,고려대학교,"안문석, 김규태, 이상현, 김지연, 임희석, 김동승"
11817,포스텍이 읽어주는 반도체 세상,포항공과대학교,"이병훈,강석형,김세영,백록현,심재윤,이장식,송재용,이영주,이정수,정윤영,정성웅,황현상"
11789,시스템반도체입문,한국연구재단 산업교육센터,이우주
11767,Beginner Creator를 위한 LED/LCD 디스플레이와 센서 활용[LED/LCD Display and Sensor Utilization for Beginner Creators],인하공업전문대학,조도현
11762,이공계 학생을 위한 핵심반도체 개론[Introduction to Core Semiconductors for Science and Engineering Students],인하공업전문대학,"이선우, 엄우용"
11645,레이저란 무엇인가? 기초에서 응용까지,서울시립대학교,이주한
11518,(수어) 히든 히어로즈 : 반도체 세계대전! 대한민국의 운명은?,JTBC,
11506,논리설계 및 실험,한국연구재단 산업교육센터,김태환
11505,생활속의 반도체,한국연구재단 산업교육센터,"이혁재, 선우경"
11500,운영체제의 기초,한국연구재단 산업교육센터,홍성수
11488,블록체인의 원리,세종사이버대학교,"박영호, 오세창, 장남수, 윤기순, 이광수"
11418,(MOOC) 히든 히어로즈 : 반도체 세계대전! 대한민국의 운명은?,JTBC,
11415,"반도쳇GPT:""G""eo""P""olitics &""T""echnology",고려대학교,신창환
11387,"(수어) 히든 히어로즈 : K-디스플레이, 글로벌 최초와 최고를 독점하다!",JTBC,
11386,"(MOOC) 히든 히어로즈 : K-디스플레이, 글로벌 최초와 최고를 독점하다!",JTBC,
11225,IT제품 속의 반도체 활용과 관련 기술,서울대학교,이혁재
11198,반도체 산업 진로설계,한국연구재단 산업교육센터,"강정원, 서응교"
11197,반도체 기술과 창업,한국연구재단 산업교육센터,"김용석, 이정형, 이주범"
11186,SoC구조및설계,한국연구재단 산업교육센터,이우주
10599,전기전자기초,전남과학대학교,유명한
10574,양자정보처리 기초,한국과학기술원,배준우
10519,IC-Process,아주대학교,"박성준, 오일권"
10500,차량비전시스템,한국연구재단 산업교육센터,"심인욱, 류춘우, 김학일"
10490,PLC 이론과 실제,한국연구재단 산업교육센터,남대훈
10483,시스템반도체입문,한국연구재단 산업교육센터,이우주
10305,효율적인 인공지능 연산을 위한 지능형 반도체 기술,포항공과대학교,정윤영
10260,PLC 응용,한국연구재단 산업교육센터,남대훈
9952,공기조화기술 (HVAC) 기초,고려사이버대학교,"백창현, 봉재환"
9951,사물인터넷(IoT)과 제어기술,고려사이버대학교,"장경배, 한병준"
9950,인공지능(AI)과 냉동공조,고려사이버대학교,이동찬
9940,스마트 에너지 이론,고려사이버대학교,"우태호, 전종욱"
9803,사물인터넷(Internet of Things),고려대학교,이상현
9802,ICBM+AI 개론,고려대학교,"안문석, 김규태, 이상현, 김지연, 임희석, 김동승"
9721,포스텍이 읽어주는 반도체 세상,포항공과대학교,"이병훈,강석형,김세영,백록현,심재윤,이장식,송재용,이영주,이정수,정윤영,정성웅,황현상"
9614,기하광학 이론 및 실습 1,국립부경대학교,안예찬
9613,기하광학 이론 및 실습 2,국립부경대학교,안예찬
9578,회로이론,대구대학교,최병재
9442,이공계 학생을 위한 핵심반도체 개론[Introduction to Core Semiconductors for Science and Engineering Students],인하공업전문대학,"이선우, 엄우용"
9433,Beginner Creator를 위한 LED/LCD 디스플레이와 센서 활용[LED/LCD Display and Sensor Utilization for Beginner Creators],인하공업전문대학,조도현
9314,회로이론,한국연구재단 산업교육센터,남재광
8950,블록체인의 원리,세종사이버대학교,"박영호, 오세창, 장남수, 윤기순, 이광수"
8722,ICBM+AI 기술을 접목한 리빙랩 설계 입문,고려대학교,김지연
8703,Quantum Mechanics for IT/NT/BT,고려대학교,
8004,PLC 이론과 실제,한국연구재단 산업교육센터,남대훈
7995,차량비전시스템,한국연구재단 산업교육센터,"심인욱, 류춘우, 김학일"
7755,전자회로,영남대학교,
7304,반도 채 몰라도 들을 수 있는 반도체 소자 이야기,서울시립대학교,신창환
5661,전기자동차 구동 제어,서울과학기술대학교,
5257,포스텍이 읽어주는 반도체 세상,포항공과대학교,"이병훈,강석형,김세영,백록현,심재윤,이장식,송재용,이영주,이정수,정윤영,정성웅,황현상"
5254,디지털통신시스템: 변복조와 전력스펙트럼,포항공과대학교,조준호
5174,시스템 반도체 설계(하드웨어 시스템즈),포항공과대학교,강석형
4882,기하광학 이론 및 실습 2,국립부경대학교,안예찬
4881,기하광학 이론 및 실습 1,국립부경대학교,안예찬
4832,시스템반도체입문,한국연구재단 산업교육센터,
4056,리빙랩 설계 입문,고려대학교,김지연
4051,클라우드 컴퓨팅과 인공지능,고려대학교,"김동승, 임희석"
4046,사물인터넷(Internet of Things),고려대학교,이상현
4038,ICBM+AI 개론,고려대학교,"안문석, 김규태, 이상현, 김지연, 임희석, 김동승"
