id,name,org_name,professor
12482,엔트로피 법칙- 우주 절대 불변의 진리,서울대학교,황농문
12153,리튬이차전지의 이해,울산대학교,오은석
11825,나노스케일 에너지 전달,포항공과대학교,진현규
11700,"인류의 그림자, 에너지 바로 알기",인하대학교,신현돈
11519,"(수어) 히든 히어로즈 : 1,635조 시장을 장악할 K-원전, 글로벌 영토를 넓히다!",JTBC,
11513,디지털 신기술 기반 신재생 에너지,광운대학교,손희상
11509,배터리 신기술과 우리의 생활,광운대학교,손희상
11495,"(MOOC) 히든 히어로즈 : 1,635조 시장을 장악할 K-원전, 글로벌 영토를 넓히다!",JTBC,
11404,엔트로피 법칙- 우주 절대 불변의 진리,서울대학교,황농문
11151,(수어) 히든 히어로즈 : 미래산업 게임체인저가 될 K-배터리,JTBC,
11150,(MOOC) 히든 히어로즈 : 미래산업 게임체인저가 될 K-배터리,JTBC,
10462,알기 쉬운 이차전지 이야기,부산대학교,박민준
10061,리튬이차전지의 이해,울산대학교,오은석
9958,나노스케일 에너지 전달,포항공과대학교,진현규
9853,배터리 신기술과 우리의 생활,광운대학교,손희상
9694,디지털 신기술 기반 신재생 에너지,광운대학교,손희상
9519,인공태양속으로,과학기술연합대학원대학교,"이종하, 김현석, 고원하, 이상곤, 서성헌, 김재욱, 박준교, 고진석, 김정희, 홍용철, 윤성우"
9513,분리선별공학(광물 및 순환자원(폐배터리 등)) 물리적 처리 개론,과학기술연합대학원대학교,한요셉
8220,미래의 에너지: 기후변화 대처를 위한 지속 가능한 에너지 개발,고려사이버대학교,"우태호, 이우균, 장경배, 백창현"
5232,나노스케일 에너지 전달,포항공과대학교,진현규
5231,나노스케일 에너지 전달,포항공과대학교,진현규
3474,솔직한 원자력 이야기,경희대학교,"김명현, 김광표, 정범진, 허균영"
3366,알기 쉬운 원자력 에너지 이야기,한국과학기술원,이정익
