id,name,org_name,professor
12507,의료기술평가 연구방법론,한국보건의료연구원,"이월숙, 고려진, 설아람, 박지정, 최지은, 이민, 박은정, 박주연, 이나래,  윤지은,  손수경, 최미영, 최원정, 박동아, 신상진, 이현정, 김윤정, 최인순, 박찬미, 이자연, 조애정, 김윤희, 장수현, 박선영, 안정훈, 오성희"
12262,한반도 건강공동체와 보건의료의사소통,창신대학교,"이도영, 김희숙, 유수영"
12261,한반도 건강공동체와 보건의료인의 역할,창신대학교,"이도영, 노기옥, 박상민, 김신곤, 전정희"
12260,한반도 건강공동체의 이해,창신대학교,"이도영, 노기옥, 박상민, 김신곤, 전정희"
12248,Hyperdent & 3D printer 활용,원광보건대학교,"남신은, 이광영"
12247,Orthodontic planer & Implant studio 활용,원광보건대학교,"조미향, 김영훈"
12246,3shape & Meshmixer 활용,원광보건대학교,"정창섭, 이광영"
12245,Exocad & Millbox 활용,원광보건대학교,"유상희, 이광영"
12229,이 시대의 중독이야기,동신대학교,"최은정, 안효자, 김지선"
12228,언택트 시대의 건강관리 플러스,동신대학교,"양승정, 최진아, 임승길"
12221,사상체질과 건강관리,대구한의대학교,김성태 
12220,"진단, 치료기기의  한의학적 응용",대구한의대학교,"정현정, 김영준"
12218,로봇재활,대구한의대학교,"김 경, 박재효, 서유성"
12217,한의학 기반 디지털 헬스케어와 재활,대구한의대학교,"박재효, 서부일, 안희덕, 이봉효, 박지하, 송지청, 조용호, 권구명"
12181,미생물과 건강보건,고려대학교,윤원석
12180,5분 생활 보건(마이크로강좌),고려대학교,윤원석
12098,최초반응자를 위한 외상처치술,대전보건대학교,김진우
11990,소프트웨어형 디지털치료제,한국연구재단 산업교육센터,"정효정, 노유헌"
11989,웨어러블 캡스톤디자인,한국연구재단 산업교육센터,"이상호, 황윤자"
11988,바이오헬스 역량강화 ① 스마트 헬스케어,한국연구재단 산업교육센터,정효정
11977,바이오헬스 진로설계,한국연구재단 산업교육센터,정효정
11976,건강한 삶을 위한 운동 스마트한 헬스케어,동아대학교,박현태
11925,생활 속의 물리치료,남서울대학교,이상빈
11899,언택트 시대의 눈건강 관리법,백석대학교,김효진
11837,마인드키퍼 정신건강 초기단기 개입과정,한양여자대학교,채정아
11810,소매틱 재활,대구대학교,권욱동
11640,의료기술평가 연구방법론,한국보건의료연구원,"이월숙, 고려진, 설아람, 박지정, 최지은, 이민, 박은정, 박주연, 이나래,  윤지은,  손수경, 최미영, 최원정, 박동아, 신상진, 이현정, 김윤정, 최인순, 박찬미, 이자연, 조애정, 김윤희, 장수현, 박선영, 안정훈, 오성희"
11574,환경과 어린이 건강의 이해,이화여자대학교,하은희
11469,원헬스와 신종 감염병,부산대학교,장철훈
11467,아동과 청소년의 건강환경 Ⅱ,성신여자대학교,김동희
11466,아동과 청소년의 건강환경 Ⅰ,성신여자대학교,김동희
