id,name,org_name,professor
12635,함께 해결하는 인공지능과 응용,한국원격대학협의회 AI융합교육원,"전병현, 박형용"
12634,따라하며 이해 하는 인공지능 핵심원리,한국원격대학협의회 AI융합교육원,나홍석
12633,체험하고 가르치는 인공지능 핵심개념,한국원격대학협의회 AI융합교육원,노윤홍
12632,학부모가 알아야 하는 인공지능 교육의 이해,한국원격대학협의회 AI융합교육원,이성태
12618,유니티로 이해하는 인공지능과 기계학습 (feat. ML-Agent),남서울대학교(매치업),"민규식, 송현철"
12617,유니티 VR 프로그래밍,남서울대학교(매치업),강민식
12615,딥러닝 3D 생성모델,중앙대학교,김학구
12613,메타버스: 가상융합플랫폼으로의 진화,중앙대학교,서상현
12603,(심화) 유니티로 이해하는 인공지능과 기계학습(feat. ML-Agent) ,남서울대학교(매치업),"김현태, 민규식"
12602,(심화) Vuforia를 활용한 AR 콘텐츠 만들기,남서울대학교(매치업),"강민식, 정재림, 박현민"
12601,(심화) 프로그래밍 문법에서 자유로워지는 유니티 비주얼 스크립팅,남서울대학교(매치업),"강민식, 김현정"
12600,(심화) 유니티 VR 프로그래밍,남서울대학교(매치업),"강민식, 김보경"
12546,기계 학습 기반의 데이터 공학,상명대학교,"민경하, 양희경"
12506,데이터 분석 기초,한국연구재단 산업교육센터,한옥영
12503,챗GPT와 자연어 처리 원리의 이해 및 실습,서울사이버대학교,"천지영, 노건태, 김태영, 김준영, 이성만, 이관수"
12450,수학 없이 이해해 보는 합성곱 신경망,한국연구재단 산업교육센터,봉재환
12449,마이크로프로세서,한국연구재단 산업교육센터,백수황
12446,인공신경망을 이용한 안전한 비행,한국항공대학교,정재훈
12438,파이썬 5분 레시피,경기대학교,"이은정, 김수진"
12436,"초연결 시대, 안전의 이해",경기대학교,나관상
12435,머신 언어의 이해,경기대학교,김광훈
12423,게임이론,한국방송통신대학교,"이남형, 정세윤, 한원용"
12422,게임이론을 위한 수학,한국방송통신대학교,"정세윤, 한원용"
12411,사물인터넷기초,호서대학교,선복근
12409,인공지능과 심리학,호서대학교,"이경희, 박혜영"
12408,텍스트처리,호서대학교,선복근
12405,"C언어기초 (배열,포인터,문자열,구조체)",호서대학교,선복근
12400,알고리즘,호서대학교,선복근
12390,비전공자를 위한 AI 딥러닝(Deep Learning),한국과학기술원,오종훈
12387,머신러닝 빅데이터 분석,고려사이버대학교(매치업),김용성
12383,빅데이터 프레임워크,고려사이버대학교(매치업),김윤기
