id,name,org_name,professor
12031,발달지연 청소년의 참 세상살이를 위한 의사소통(5),대구대학교,김화수
12030,발달지연 청소년의 참 세상살이를 위한 의사소통(4),대구대학교,김화수
12024,장애의이해,우석대학교,이예다나
12018,청각이해와 재활,대구대학교,허승덕
11958,모두를 위한 난독의 이해와 읽기문해력 교육,제주대학교,연준모
11815,지적장애학생교육,대구대학교,김건희
11806,수어의 이해 ,대구대학교,권순우
10708,모두를 위한 난독의 이해와 읽기문해력 교육,제주대학교,연준모
10643,청각이해와 재활,대구대학교,허승덕
10642,소매틱운동 재활,대구대학교,권욱동
10412,장애아동의 이해 ,우송대학교,김정아
10101,장애의이해,우석대학교,이예다나
9576,함께하는 장애탐험,대구대학교,김용욱
9573,발달지연 청소년의 참 세상살이를 위한 의사소통(5),대구대학교,김화수
9571,발달지연 청소년의 참 세상살이를 위한 의사소통(4),대구대학교,김화수
9570,발달지연 청소년의 참 세상살이를 위한 의사소통(3): 실제생활기술,대구대학교,김화수
9569,발달지연 청소년의 참 세상살이를 위한 의사소통(2): 학업과 학교생활에 관한 기술,대구대학교,김화수
9567,지적장애학생교육,대구대학교,김건희
9553,수어의 이해 ,대구대학교,권순우
8310,"장애, 다양성 그리고 함께 사는 사회",단국대학교,한경근
3865,한국수어 이해와 기초 실습,공주대학교,최상배
1343,발달지연 청소년의 참 세상살이를 위한 의사소통(5),대구대학교,김화수
1341,발달지연 청소년의 참 세상살이를 위한 의사소통(4),대구대학교,김화수
1335,발달지연 청소년의 참 세상살이를 위한 의사소통(3): 실제생활기술,대구대학교,김화수
1331,발달지연 청소년의 참 세상살이를 위한 의사소통(2): 학업과 학교생활에 관한 기술,대구대학교,김화수
1298,발달지연 청소년의 참 세상살이를 위한 의사소통(1): 대인관계 기술,대구대학교,김화수
1292,발달장애인을 위한 꿈의 대학,대구대학교,김화수
1287,지적장애학생교육,대구대학교,김건희
1224,함께하는 장애탐험,대구대학교,김용욱
1210,수어의 이해 ,대구대학교,권순우
