id,name,org_name,professor
12407,창의공학설계입문,호서대학교,박승규
12371,에너지환경기술,한국연구재단 산업교육센터,"양오봉, 김현우, 백기태, 오주원, 이기봉, 정은혜, 차민준, 김용현, 장현민"
12251,반응공학1,아주대학교,박은덕
11872,손과 눈으로 따라하는 석유화학 품질실무,울산과학대학교,"배해익, 서은용"
11701,첨단 바이오테크놀로지의 이해,인하대학교,김은기
10376,코스메틱 엔지니어링,조선대학교,신현재
10215,반응공학1,아주대학교,박은덕
10183,창의공학설계입문,호서대학교,박승규
10153,에너지환경기술,한국연구재단 산업교육센터,"양오봉, 김현우, 백기태, 오주원, 이기봉, 정은혜, 차민준, 김용현, 장현민"
10054,미래산업에서 수소연료전지의 위상,울산대학교,김준범
9753,손과 눈으로 따라하는 석유화학 품질실무,울산과학대학교,"배해익, 서은용"
8599,계면현상의 이해와 적용,한국과학기술원,김종득
7993,에너지환경기술,한국연구재단 산업교육센터,"양오봉, 김현우, 백기태, 오주원, 이기봉, 정은혜, 차민준, 김용현, 장현민"
7628,알기 쉬운 화학이야기,원광대학교,김보미
7220,손과 눈으로 따라하는 석유화학 품질실무,울산과학대학교,"배해익, 서은용"
6120,재미있는 화학공학,"서울대, 한국과학기술원, 포항공대",
3590,소화약제학,경일대학교,김명철
1365,알기 쉬운 한방화장품 제조학,대구한의대학교,"이미지, 최창형, 김완일, 노성수, 황보민"
